"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS26",8.45469230962403e-30,-0.53860151106977,0.962,1,1.58965124805551e-25
"ENSG00000289901",3.68504848159903e-25,-3.06104810904848,0.153,0.469,6.9286281551025e-21
"HLA-G",1.09190135407701e-21,-4.25468979375627,0.018,0.22,2.0529929259356e-17
"HLA-B",4.48478466561319e-21,-0.418643864947975,1,1,8.43229212828593e-17
"CD8B",1.87778688153447e-20,1.67671817743558,0.473,0.182,3.53061489466111e-16
"CD8A",1.69740964826271e-18,0.89341667737672,0.734,0.464,3.19146962066354e-14
"TRGV3",2.51250460238724e-16,1.91965270184754,0.402,0.186,4.72401115340848e-12
"CMC1",4.42590951965597e-15,-1.62066850972167,0.223,0.451,8.32159507885716e-11
"TRDV2",4.13355001820284e-14,-8.00175168816054,0,0.099,7.77190074422497e-10
"HLA-DRB5",8.33622227398538e-14,2.2312941833512,0.223,0.047,1.56737651195473e-09
"TRBV10-1",1.29458067540413e-13,4.65149884372551,0.11,0.002,2.43407058589485e-09
"TRBV5-6",4.47671317640927e-13,6.49128005824061,0.1,0.002,8.4171161142847e-09
"MT-CO3",8.13690871703076e-13,-0.396613710276661,0.992,0.996,1.52990157697612e-08
"TRBV18",1.37626834094322e-12,-8.8806347629775,0,0.092,2.58765973464144e-08
"ZNF683",5.07142550531091e-12,2.12137850456139,0.263,0.108,9.53529423508558e-08
"NEAT1",6.20784479261065e-12,-0.701768145183527,0.719,0.863,1.16719897790666e-07
"ATP1B3",6.26956147383118e-11,-0.852912834943914,0.558,0.738,1.17880294830974e-06
"RPS10",9.7329903207133e-11,-0.303875985820623,1,1,1.82999684010051e-06
"CSGALNACT1",2.35322455802981e-10,1.06948283914461,0.361,0.17,4.42453281400765e-06
"TRAV25",2.52346371808665e-10,7.05036890132323,0.066,0,4.74461648274652e-06
"CD3G",2.60287005798165e-10,0.737892748036288,0.565,0.352,4.8939162830171e-06
"JUND",3.22229239690633e-10,-0.476424687321539,0.959,0.975,6.05855416466328e-06
"S100B",4.29712992987335e-10,-4.50914673469026,0.008,0.101,8.07946369414788e-06
"TRAV13-2",6.02973620155323e-10,4.01484744516003,0.084,0.004,1.13371100061604e-05
"DUSP4",7.57432723115599e-10,1.69989644165318,0.235,0.094,1.42412500600195e-05
"RPS24",1.41124891601473e-09,0.266151485182315,1,1,2.65343021189089e-05
"ANXA1",2.05523519491426e-09,0.526521547890727,0.941,0.899,3.8642532134778e-05
"TRBV13",2.20771465816909e-09,5.90625700721701,0.077,0.002,4.15094510028952e-05
"ZHX2",2.5836707496337e-09,-1.07488778581225,0.263,0.471,4.85781774346128e-05
"GZMH",2.86578799876454e-09,0.555980455572012,0.898,0.832,5.38825459527709e-05
"DUSP2",4.15813209440906e-09,-0.678820956821557,0.739,0.861,7.81811996390791e-05
"CD69",4.88017338946155e-09,-1.40009049933987,0.504,0.63,9.1757020068656e-05
"ENSG00000236948",1.02821802392414e-08,5.92089467687814,0.056,0,0.000193325552858217
"IFITM2",1.52924234058931e-08,-0.483048172124611,0.831,0.917,0.000287528144877602
"SQSTM1",1.55669669895559e-08,-0.538513315958769,0.91,0.933,0.00029269011333763
"GPX1",1.66775232684345e-08,1.26478553086269,0.279,0.123,0.000313570792493105
"RPTOR",1.83410105231774e-08,1.27698508938197,0.297,0.146,0.000344847679856781
"CD52",2.03945669134912e-08,0.636031969442468,0.803,0.673,0.000383458647107461
"IKZF2",3.70263312863884e-08,0.460120572078358,0.504,0.332,0.000696169080846675
"GGA2",3.894192176685e-08,0.673609040861939,0.575,0.408,0.000732186013060313
"TRBV5-1",4.01638295498993e-08,1.03209433837493,0.02,0.047,0.000755160323197207
"S1PR4",4.11172689142712e-08,0.581805704291263,0.668,0.493,0.000773086890126128
"EIF1",8.7358634786588e-08,-0.343768602168877,0.992,0.993,0.00164251705125743
"MT-CO1",8.82245137065922e-08,-0.235671412239284,1,0.996,0.00165879730671135
"KLHL4",9.50568865249921e-08,6.33148461737133,0.051,0,0.0017872595804429
"NFKBIA",1.44136714695163e-07,-0.897631235759095,0.757,0.816,0.00271005850969846
"REL",1.89424398183182e-07,-0.737607677161149,0.55,0.639,0.00356155753464019
"CD3D",2.09037941193774e-07,0.414537349815963,0.668,0.491,0.00393033137032533
"TRBV6-6",2.43754592276061e-07,5.52026232693137,0.061,0.002,0.0045830738439745
"SRSF2",3.00988266807196e-07,-0.38968699704189,0.91,0.944,0.00565918139250891
"CD83",3.01077827692776e-07,-1.63641756210859,0.105,0.247,0.00566086531627958
"CAMK4",3.77527602266425e-07,1.32175722870056,0.256,0.126,0.00709827397781332
"CCL3L3",4.09527117491882e-07,-2.5534017898947,0.036,0.13,0.00769992886308236
"GLIPR2",4.11927739328923e-07,0.805836988779636,0.389,0.226,0.00774506535486242
"TXNIP",8.88453778332703e-07,0.606575810548106,0.591,0.417,0.0167047079402115
"RPS4Y1",9.18604934896682e-07,0.342866650284351,0.877,0.758,0.0172716099859274
"RPL18A",9.62631128532661e-07,0.187606627924265,1,0.998,0.0180993904786711
"JAK1",1.25897959347308e-06,-0.38342791369471,0.928,0.955,0.0236713343164808
"ENSG00000278932",1.55478600321509e-06,-5.24882754173241,0,0.045,0.02923308643245
"MAZ",1.69420970652726e-06,0.616925917083326,0.593,0.471,0.0318545309021256
"ICAM1",2.01082245731216e-06,-2.4771943028427,0.036,0.123,0.0378074838423832
"TRAV1-1",2.19689374599558e-06,-5.47374380692004,0,0.043,0.041305996212209
"FOSB",2.31060985195192e-06,-1.39379410343616,0.138,0.269,0.0434440864363999
"ARL17B",2.45046204691972e-06,-2.01309697257874,0.038,0.141,0.0460735874061845
"KLRD1",2.54006363980752e-06,-0.363069999493013,0.872,0.888,0.047758276555661
"BLK",3.02572953179748e-06,5.14454111776772,0.036,0,0.0568897666568561
"LAPTM5",3.10300508690963e-06,0.35852679271808,0.88,0.827,0.0583427016440748
"KCNAB2",3.25393517534239e-06,0.869590513059763,0.361,0.238,0.0611804891667876
"PRF1",3.74723182709652e-06,0.443053930050044,0.916,0.857,0.0704554528130688
"XIST",3.76733716416807e-06,-5.26075450402943,0,0.038,0.070833473360688
"BHLHE40",4.27502809623628e-06,-0.587967337345824,0.662,0.726,0.0803790782654346
"MT-ND1",4.44520466248467e-06,-0.327655938598468,0.957,0.969,0.0835787380640368
"XCL2",4.46179603564018e-06,-2.2213883107609,0.095,0.224,0.0838906890621066
"LINC-PINT",5.43395324347968e-06,-0.512512321687739,0.895,0.904,0.102169188883905
"TUBA4A",5.50902989554469e-06,-0.624944495257252,0.573,0.709,0.103580780096031
"TNFAIP3",6.01876331610204e-06,-0.360989283877015,0.928,0.926,0.11316478786935
"KIR2DL3",6.63729284700829e-06,0.986470498482827,0.322,0.182,0.12479438010945
"KDM6B",6.73114287701158e-06,-0.82423448463022,0.327,0.455,0.126558948373572
"RPL28",6.85743422149358e-06,0.169187420481476,1,1,0.128933478232522
"LINC02520",7.60724688503666e-06,-4.12995206947319,0.003,0.054,0.143031455932459
"PLEC",9.93940240667531e-06,0.908857303836996,0.307,0.175,0.186880644050309
"GOLIM4",1.09682912193981e-05,0.856000524039931,0.322,0.197,0.206225811507122
"TRDC",1.35992567567273e-05,-0.974964640214733,0.092,0.211,0.255693225539986
"TRDV1",1.40134782942297e-05,1.13970786754802,0.192,0.083,0.263481418888106
"C12orf57",1.64523042154146e-05,0.502738772613999,0.693,0.639,0.309336223858226
"ZNF331",1.66735804647985e-05,-1.23958251860418,0.166,0.256,0.313496659899142
"CLSTN3",1.69869165461161e-05,1.05791761885761,0.281,0.161,0.319388004900074
"GNG2",1.93754575394331e-05,-0.394696645225956,0.913,0.942,0.364297352656421
