"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD45",5.69662177588754e-197,2.41408636152069,0.935,0.729,7.00684478434168e-195
"CD48",1.00147763497872e-160,3.39035305658095,0.843,0.544,1.23181749102383e-158
"SELL",4.15793077801008e-135,12.8165781350907,0.623,0.326,5.1142548569524e-133
"ITGA4",2.0723935770282e-121,0.121578195069644,0.897,0.739,2.54904409974468e-119
"BTLA",2.74448541351236e-118,-8.84076956425195,0.328,0.589,3.3757170586202e-116
"CD44",9.40184152649951e-110,1.98043241830293,0.898,0.77,1.15642650775944e-107
"IGHM",8.64914616678494e-84,-7.49082961559494,0.878,0.917,1.06384497851455e-81
"ENTPD1",7.16124249230411e-74,-4.75199425410869,0.699,0.784,8.80832826553406e-72
"CD82",8.8952832070589e-73,0.839015495721946,0.293,0.104,1.09411983446824e-70
"CD19",5.10612264364733e-69,-17.4632345625756,0.966,0.97,6.28053085168621e-67
"LILRB1",4.13558265056861e-68,-6.325824051497,0.186,0.379,5.08676666019939e-66
"CD47",1.09879753883588e-67,1.09839410576267,0.79,0.585,1.35152097276813e-65
"CD38",1.32218679105347e-67,1.98144663873139,0.719,0.487,1.62628975299577e-65
"CD5",5.97863222298605e-62,14.5993914288932,0.197,0.07,7.35371763427284e-60
"CD83",3.03935267047406e-57,-11.4378144323762,0.015,0.123,3.7384037846831e-55
"CD45RA",4.79559266183626e-53,2.99046982498164,0.996,0.992,5.89857897405859e-51
"CD40",1.39603137142243e-48,-8.00419010366591,0.883,0.822,1.71711858684959e-46
"NT5E",2.27139948755698e-47,-5.72860914145704,0.303,0.559,2.79382136969509e-45
"ITGAL",3.69254568768827e-43,2.43537766435195,0.318,0.132,4.54183119585657e-41
"IGKC",8.02372173480908e-39,-2.68415589857725,0.374,0.471,9.86917773381517e-37
"CXCR3",2.72585272699677e-38,-14.0792486055518,0.001,0.063,3.35279885420603e-36
"TNFRSF13C",5.12602099036257e-37,4.5582436413356,0.865,0.796,6.30500581814596e-35
