"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD2",1.25008628324645e-59,0.454841427934642,0.981,0.925,1.53760612839313e-57
"CD45",3.92001040040939e-49,0.94790529829147,0.973,0.926,4.82161279250355e-47
"CXCR3",2.35045827865073e-41,-16.5558892701774,0,0.212,2.8910636827404e-39
"BTLA",4.06994730709042e-32,-10.7047862400483,0.003,0.198,5.00603518772122e-30
"CD3D",1.19288448950296e-28,-0.77872335947699,0.957,0.949,1.46724792208864e-26
"CD44",5.00813187294614e-25,1.84578265549582,0.964,0.955,6.16000220372375e-23
"CD226",4.44766189665526e-24,-4.17081132138718,0.022,0.266,5.47062413288597e-22
"HLA-A",7.55680869464916e-23,0.587136233438167,0.594,0.414,9.29487469441846e-21
"NT5E",7.88621240989962e-21,-3.64729918334847,0.566,0.765,9.70004126417653e-19
"DPP4",4.22041315429381e-17,-1.30427895257103,0.607,0.561,5.19110817978139e-15
"PECAM1",3.2513268818169e-14,-1.28238538659331,0.729,0.842,3.99913206463479e-12
"ICOS",1.0183058649133e-11,-3.42998449901973,0.25,0.568,1.25251621384336e-09
"CD45RA",1.31315229463612e-09,0.826758418397674,0.991,0.989,1.61517732240243e-07
"CD52",6.29571990327009e-09,-0.264659680889839,0.607,0.574,7.74373548102221e-07
"CD28",1.0345227694515e-07,-2.89702224585135,0.64,0.853,1.27246300642535e-05
"CD7",4.51541845114275e-07,-2.88039747731528,0.985,0.992,5.55396469490558e-05
"KLRK1",3.21869549001068e-05,-3.77947187591622,0.107,0.262,0.00395899545271313
"TCR-vA7.2",7.61547481216134e-05,-4.31042913463976,0.046,0.043,0.00936703401895844
"ITGA2B",0.000136063496822839,2.96357607674566,0.027,0.012,0.0167358101092092
"ITGB2",0.000147894570668282,-1.86502950718574,0.482,0.655,0.0181910321921987
"SLAMF7",0.000173071382864291,-22.2387031922756,0.023,0.021,0.0212877800923077
"ITGAX",0.000292087248798709,-22.1592075811703,0.26,0.203,0.0359267316022412
"CD8A",0.000871876127479234,-3.18882564793002,0.996,0.998,0.107240763679946
"CD69",0.00165328404473086,-3.76699678324454,0.018,0.069,0.203353937501896
"CD19",0.00168419026486245,6.64020914646771,0.005,0.016,0.207155402578081
"SELP",0.00200146639891992,-5.09979411934014,0.013,0.007,0.24618036706715
"CD48",0.00264114094541109,-2.75003327244083,0.972,0.96,0.324860336285564
"CR1",0.00444554795234365,-4.22903145094546,0.053,0.036,0.546802398138269
"CD27",0.0051098191847988,-2.77592840800725,0.91,0.964,0.628507759730252
"CD86",0.00841386752955639,-26.046825620463,0.116,0.148,1
"IL7R",0.0184088679485272,-2.78293976918364,0.246,0.445,1
"CD22",0.0324307066372067,1.92650210541271,0.094,0.097,1
"KLRG1",0.0433372960583797,-5.72920847608181,0.012,0.011,1
"PVR",0.0480752016793167,-3.54494656671272,0.01,0.032,1
"ICAM1",0.0723345587578124,-9.24994231884071,0.023,0.015,1
"CD38",0.0835153791652181,-2.08692825008086,0.202,0.213,1
"ITGAL",0.0950267453482165,-2.93709480876456,0.689,0.76,1
"CD4",0.107125797224483,-2.58350159433445,0.012,0.011,1
"ENTPD1",0.114039070713142,-4.36731397930489,0.026,0.019,1
"CLEC12A",0.123047887224393,-8.83321432023733,0.048,0.034,1
"LILRB1",0.142785052269366,-9.35505829732969,0.014,0.038,1
"CR2",0.14730734670756,-20.4269437526888,0.122,0.174,1
"HLA-DRA",0.151918980447113,-2.11549649573609,0.031,0.023,1
"TCR-AB",0.175069848518486,-1.52064512271735,0.274,0.364,1
"ITGA4",0.183818420430292,-1.79269933966157,0.615,0.735,1
"Rat-IgG2a",0.185956211196394,-2.51675417122682,0.005,0.012,1
"IGHM",0.18920059846688,-0.870482876580622,0.01,0.006,1
"FCGR2A",0.192895143975568,1.22130735959146,0.2,0.159,1
"CD81",0.196793183795053,-1.64831544818286,0.072,0.134,1
"TNFRSF9",0.246435920463684,-1.46243849466261,0.003,0.011,1
"ITGA6",0.26970411959644,1.01314599886765,0.039,0.036,1
"CD36",0.272109718258326,3.6181970971648,0.022,0.016,1
"CD244",0.304351851563847,-1.43043528879127,0.015,0.015,1
"Rat-IgG2b",0.326253285619698,-0.453669873942804,0.004,0.013,1
"KIR3DL1",0.329539627220888,-25.8623835012231,0.008,0.015,1
"CCR6",0.342485896245891,-0.342067037740434,0.015,0.023,1
"FCER1A",0.374321384524225,-1.36440452024394,0.014,0.01,1
"CD1D",0.401386502579026,-1.70341091517491,0.039,0.028,1
"TIGIT",0.494373482510872,-1.61466656956712,0.013,0.013,1
"CD274",0.537562570268758,-7.04451364523918,0.005,0.013,1
"MS4A1",0.569299846747872,4.18419228302918,0.032,0.029,1
"FAS",0.583891467645303,-3.26280041132854,0.009,0.024,1
"SELL",0.620296045167834,-23.8868682398506,0.994,0.998,1
"ITGA1",0.643654982036177,-5.05819166570486,0.046,0.085,1
"CD33",0.649465558674544,-23.9025630168363,0.165,0.12,1
"CCR4",0.659029532600851,-0.917035092362641,0.008,0.013,1
"CD45RO",0.662716272021651,-6.11276887965014,0.005,0.013,1
"CD1C",0.696868157779221,-1.27258178280852,0.017,0.02,1
"IGHD",0.706815466922109,-11.9288307619591,0.017,0.011,1
"Mouse-IgG2b",0.718326336286919,-1.43585221243424,0.008,0.011,1
"ADGRG1",0.745744943223517,-19.6098166610824,0.012,0.019,1
"ANPEP",0.893736805234084,-15.5297659022549,0.015,0.019,1
