"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD2",0,2.63453833083944,0.992,0.974,0
"CD8A",3.0998673877743e-292,5.80107330540116,0.998,0.997,3.81283688696239e-290
"CD48",1.97561070388371e-109,1.89995432590178,0.929,0.902,2.43000116577696e-107
"ITGAL",1.22942259257991e-108,3.36183202108062,0.981,0.958,1.51218978887328e-106
"CD99",4.70411044389991e-104,0.475060429486552,0.986,0.991,5.7860558459969e-102
"CD45",6.24188196962082e-104,1.55655856621564,0.989,0.961,7.67751482263361e-102
"CD5",2.41593564434158e-78,3.07187629749813,0.923,0.865,2.97160084254014e-76
"CXCR3",2.19474472065044e-71,-16.1822528867401,0.003,0.129,2.69953600640004e-69
"CD7",3.39338655213666e-63,3.68326656000095,0.829,0.778,4.17386545912809e-61
"TIGIT",1.98394822177031e-56,-3.8445553896251,0.229,0.496,2.44025631277749e-54
"CCR5",2.77287317898675e-41,-4.29553057597924,0.03,0.145,3.4106340101537e-39
"FAS",1.54303663398946e-39,-2.47790211519212,0.559,0.778,1.89793505980703e-37
"CD45RO",1.53906885162293e-37,-5.88877616947966,0.612,0.702,1.8930546874962e-35
"KLRG1",2.46521142747669e-35,-3.33978059893375,0.446,0.575,3.03221005579633e-33
"CD3D",4.39498249812819e-33,0.936561696756691,0.922,0.89,5.40582847269768e-31
"CD44",3.3168549592762e-28,0.89776989574449,0.969,0.981,4.07973159990973e-26
"TCR-vA7.2",3.51981264131162e-28,-6.82553085671418,0.065,0.033,4.32936954881329e-26
"CD47",8.7383736844966e-28,0.103782043496132,0.533,0.412,1.07481996319308e-25
"HLA-DRA",1.10517290250043e-25,0.188002190712373,0.179,0.311,1.35936267007552e-23
"PDCD1",1.11729020857541e-25,-11.9236513842748,0.001,0.044,1.37426695654775e-23
"CD58",1.0773625874233e-23,-7.15909457759105,0,0.043,1.32515598253066e-21
"CD69",3.72257462006632e-23,-2.46977384747408,0.152,0.304,4.57876678268157e-21
"CD45RA",3.14579533796683e-22,1.11079430701672,0.384,0.282,3.8693282656992e-20
"ICOS",7.76767483097782e-18,-3.59027370567297,0.217,0.489,9.55424004210272e-16
"KLRK1",1.77216517940138e-17,-3.25789332727845,0.176,0.389,2.17976317066369e-15
"CD33",7.71774282914841e-14,-8.90361619640714,0.198,0.154,9.49282367985255e-12
"ITGB2",1.71422304657782e-13,-0.333926313543,0.924,0.96,2.10849434729072e-11
"ICAM1",2.34690125472359e-12,-5.15726125332618,0.267,0.377,2.88668854331002e-10
"TCR-AB",3.24776552669959e-12,-2.33248171384688,0.235,0.416,3.99475159784049e-10
"CD4",2.46912390108177e-11,-0.250289693596505,0.023,0.013,3.03702239833057e-09
"CD226",2.98292156536491e-11,-3.62686548565408,0.143,0.253,3.66899352539884e-09
"CD86",1.4538822931905e-10,-0.711493089975171,0.115,0.16,1.78827522062432e-08
"ITGA1",3.30017499117654e-10,-22.1135805294171,0.077,0.185,4.05921523914714e-08
"IL7R",3.73853757145782e-10,-3.15504583408564,0.096,0.255,4.59840121289312e-08
"B3GAT1",1.04011540149367e-09,5.14733444049141,0.075,0.039,1.27934194383722e-07
"LILRB1",3.84708903387999e-09,-11.9626749062465,0.011,0.045,4.73191951167238e-07
"NCAM1",6.00150221875732e-09,-2.14906835147531,0.023,0.01,7.38184772907151e-07
"DPP4",9.15456957307151e-09,-4.15169350003435,0.174,0.226,1.1260120574878e-06
"CD1D",8.90552964703382e-08,0.506645098979828,0.037,0.027,1.09538014658516e-05
"BTLA",1.67073307539143e-07,-4.96568778658718,0.004,0.03,2.05500168273145e-05
"SELP",5.77492734071004e-07,-1.39281939674596,0.017,0.01,7.10316062907335e-05
"CD27",6.1711634468071e-07,2.94802355442352,0.413,0.601,7.59053103957274e-05
"CD52",1.36655813298791e-06,-0.45727633078133,0.4,0.47,0.000168086650357513
"ITGA2B",1.66047252743626e-06,1.30558259622145,0.027,0.02,0.00020423812087466
"ADGRG1",1.46927330487506e-05,2.83009146738866,0.22,0.267,0.00180720616499632
"ITGAX",1.52342919458874e-05,-2.35261638300561,0.199,0.158,0.00187381790934415
"ANPEP",1.70709982119236e-05,11.1582842275944,0.03,0.022,0.0020997327800666
"SLAMF7",1.90341397385648e-05,-20.3110067798266,0.029,0.041,0.00234119918784347
"CLEC12A",3.30678501860968e-05,0.32735697593333,0.051,0.072,0.00406734557288991
"TNFRSF9",3.69596990376968e-05,-4.38217807338237,0.002,0.014,0.00454604298163671
"PECAM1",3.96659018503295e-05,-0.513454897510026,0.414,0.482,0.00487890592759053
"ITGAE",0.000180047827871764,-12.2412216053642,0.042,0.045,0.022145882828227
"HLA-A",0.00024999081084304,-0.320683087177727,0.772,0.815,0.0307488697336939
"FCGR3A",0.000254912372720666,-1.20279005855521,0.01,0.005,0.0313542218446419
"CD14",0.000330318742851281,-2.63771583956261,0.006,0.016,0.0406292053707075
"FCGR2A",0.000358955653328902,5.0417205361082,0.221,0.218,0.044151545359455
"IL2RB",0.000546288116319805,-3.36187042095563,0.002,0.016,0.0671934383073361
"CR1",0.000945011673038873,1.22724631565411,0.046,0.034,0.116236435783781
"CD244",0.00533748318795703,0.849205318818504,0.721,0.743,0.656510432118715
"ENTPD1",0.00613680368036361,-4.62939931133436,0.037,0.035,0.754826852684724
"KIR3DL1",0.00631593562451592,14.5772252864043,0.02,0.015,0.776860081815458
"CD36",0.00668808569447331,1.17540115172689,0.033,0.027,0.822634540420217
"CD28",0.0068434571984914,-1.77412669189831,0.397,0.571,0.841745235414442
"KLRD1",0.00731507193167561,-3.21141909372009,0.112,0.115,0.8997538475961
"MS4A1",0.0125508693510732,6.64895971549545,0.069,0.094,1
"Rat-IgG1",0.0133652569505935,6.05294784327589,0.011,0.009,1
"CR2",0.0134708328792612,-4.35019821325261,0.022,0.043,1
"KIR2DL3",0.0178550109280584,-2.91671170547884,0.01,0.007,1
"NT5E",0.0181255732467708,-6.18265407535023,0.083,0.157,1
"KLRB1",0.0404085327745655,-5.0631674564691,0.013,0.013,1
"Hamster-IgG",0.042818975005749,-3.24413120247283,0.012,0.011,1
"TCR-vD2",0.0455951563950443,-29.4036725844137,0.01,0.008,1
"CD19",0.0485607161505454,-0.211633500534605,0.009,0.017,1
"CD82",0.0588182939161915,-0.73521090251,0.058,0.069,1
"KIR2DL1",0.0650928409996106,-1.44557332291368,0.007,0.01,1
"FCER1A",0.0777016746949996,-8.30631361868765,0.012,0.011,1
"CD38",0.10385263740151,-4.85896213468996,0.129,0.136,1
"IGHD",0.104749373868217,10.3372851742949,0.019,0.02,1
"CD22",0.116179691019158,2.94474724355587,0.088,0.1,1
"LAMP1",0.182748096408361,-2.4612001926368,0.009,0.011,1
"ITGA6",0.213719400975949,-1.02629035085863,0.138,0.201,1
"CCR6",0.218013978332354,-3.19002212505711,0.029,0.034,1
"CD1C",0.227971404379682,15.1854690523545,0.013,0.016,1
"SELL",0.304258721180615,3.84511665922533,0.1,0.136,1
"ITGAM",0.337064154137447,-2.06764903882089,0.006,0.01,1
"CD81",0.340307489378032,-0.675511074738099,0.501,0.611,1
