"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CCR5",2.26851985328189e-06,-5.99365814756907,0.006,0.221,0.000279027941953673
"BTLA",1.18939121495873e-05,-8.6593862491185,0.032,0.236,0.00146295119439924
"CXCR3",5.9376319374242e-05,-8.98671393318505,0,0.1,0.00730328728303177
"LILRB1",0.000336381181572972,-4.58066182491425,0.21,0.407,0.0413748853334756
"SLAMF7",0.000900689115402202,7.82068048872994,0.083,0.007,0.110784761194471
"IGHD",0.000920878979917085,20.7891651156192,0.025,0.014,0.113268114529801
"CD45RA",0.00136328219482098,1.98356043424695,0.822,0.921,0.16768370996298
"CD19",0.00188667053999121,5.59317742317037,0.032,0.086,0.232060476418919
"ENTPD1",0.00196200288593839,2.79025552910266,0.089,0.207,0.241326354970422
"PECAM1",0.00201675872196898,-0.998217336909606,0.822,0.793,0.248061322802184
"CD27",0.00231260976186061,-12.0373991272756,0.045,0.136,0.284451000708854
"CD4",0.0028723408070966,-3.50755610385848,0.688,0.65,0.353297919272882
"ITGAL",0.00354464184007236,1.06111412863777,0.803,0.721,0.4359909463289
"CD38",0.00449151362646868,-7.63226585945466,0.879,0.921,0.552456176055648
"FCER1A",0.0055473474169409,-8.40271954097001,0.242,0.457,0.682323732283731
"CD2",0.00876114731283295,6.34190366975815,0.115,0.036,1
"CLEC4C",0.00879418101860211,-5.17496095217669,0.433,0.607,1
"CD48",0.00898357707986747,5.56544404546517,0.217,0.357,1
"CD3D",0.0113084685522837,7.54997270269107,0.045,0.014,1
"CD99",0.0121869069319418,0.798195816428025,0.962,0.943,1
"FAS",0.0128076953273532,0.362742983983714,0.057,0.121,1
"IGLC1",0.0137932582662313,2.43656205885029,0.013,0.057,1
"ANPEP",0.0163817456328978,-5.39434094569102,0.051,0.079,1
"THBD",0.017381954106671,6.98922969763119,0.312,0.557,1
"HLA-A",0.0226341124392189,3.9159172783586,0.497,0.586,1
"CD1D",0.0243781945652975,3.36217685546785,0.083,0.014,1
"ADGRG1",0.0263663151778978,-2.72377238131848,0.146,0.071,1
"FCGR3A",0.0322072775685884,3.05209400929566,0.013,0,1
"CD7",0.0367351009078628,7.02512120609807,0.134,0.086,1
"CD8A",0.0417277136821409,10.4761757830663,0.032,0.014,1
"KIR3DL1",0.0470466852523135,5.51031241975691,0.019,0.007,1
"CD244",0.0497894889631498,1.28982622212506,0.159,0.064,1
