"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD45",5.40886468820998e-07,2.63541862710598,0.992,1,6.65290356649827e-05
"CD5",1.18018716652804e-05,3.63097711926662,0.984,0.975,0.00145163021482949
"CD3D",2.06209853010565e-05,2.91341607225848,0.968,0.925,0.00253638119202995
"HLA-A",2.35952955063074e-05,3.65619577498532,0.903,0.925,0.0029022213472758
"ITGAL",3.15879870426018e-05,0.624863959445618,0.992,0.95,0.00388532240624002
"CD47",3.64191826596921e-05,1.91365636676564,0.976,0.925,0.00447955946714213
"ICOS",0.000167094808207469,2.66884718434605,0.605,0.875,0.0205526614095187
"CD2",0.000374061430563417,4.00005322222954,0.968,0.875,0.0460095559593003
"CD48",0.000387890350559933,1.47473734058422,1,0.975,0.0477105131188717
"ENTPD1",0.0022150604721026,7.70596319151442,0.589,0.4,0.27245243806862
"LAMP1",0.00304006549134438,-1.95033234080691,0.573,0.3,0.373928055435358
"FCER1A",0.00368522051853036,-10.0241587343554,0.056,0.025,0.453282123779234
"CD45RO",0.00649356085140369,-1.59108298079762,0.556,0.725,0.798707984722654
"DPP4",0.00735186766392009,-2.35823709297383,0.742,0.65,0.904279722662172
"ITGAM",0.00766286008768875,2.48744677439912,0.581,0.375,0.942531790785716
"ICAM1",0.008683536405097,-6.06869866328809,0.653,0.475,1
"KIR3DL1",0.00912263663714478,-5.5692389742986,0.04,0.05,1
"PECAM1",0.00994044317324534,1.59983984068713,0.742,0.5,1
"CD33",0.0120167394505002,14.3521573764199,0.758,0.75,1
"IL7R",0.0180709928815619,-0.904053071006222,0.234,0.5,1
"MS4A1",0.0240374973934621,2.1603998698666,0.081,0,1
"CD99",0.0293466666803143,1.66073157673247,0.895,1,1
"CD7",0.0307095811920328,2.98544468080013,0.887,0.775,1
"CD1D",0.0307920186745428,-0.800916428405109,0.54,0.325,1
"ITGA2B",0.03466072871264,3.79092254987394,0.161,0.025,1
"CD52",0.0363204467471153,2.00174873699422,0.823,0.95,1
"KLRD1",0.0396323170036864,-13.1357549562009,0.008,0.075,1
"BTLA",0.042773409808751,-5.02609027807291,0.016,0.125,1
"KLRB1",0.0490521253275355,-5.36508626951007,0.024,0.15,1
"CLEC12A",0.0525745543271938,3.51203283878399,0.887,0.975,1
