"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD82",6.79717468680142e-06,-2.50290349697046,0.209,0.058,0.000836052486476574
"CD36",2.38792852286879e-05,-4.25395336865818,0.804,0.558,0.00293715208312861
"CD8A",0.000435158607938163,-9.34923066042846,0.051,0.058,0.0535245087763941
"CD45",0.00434219716849571,1.38946061426216,0.949,0.731,0.534090251724972
"CD22",0.00600082581032523,4.09661399708689,0.108,0,0.738101574670003
"ITGAX",0.00783785076019889,0.662823041834627,0.171,0.038,0.964055643504463
"FCGR2A",0.0192522196066175,4.05791090333204,0.158,0.019,1
"CD2",0.0192651420000022,0.257737596880135,0.968,1,1
"ENTPD1",0.0202405718583075,8.22861768376846,0.07,0,1
"CD274",0.0208896712221029,-4.11508143185332,0.006,0.058,1
"CR2",0.0273663812864517,-4.6153680941535,0.032,0.077,1
"IL2RA",0.0282383221856248,-5.32906118149102,0.063,0.096,1
"CLEC12A",0.0337012252247407,2.06305696783,0.07,0,1
"ICOS",0.0374353830692916,-4.24359977911868,0.576,0.808,1
"CD40LG",0.0398640170103389,-13.0165261501301,0,0.038,1
"CD81",0.0431654237072306,-0.621834224398127,0.051,0.154,1
"HLA-A",0.0462902190220562,1.02216047953436,0.81,0.615,1
"NCR1",0.0534826787873726,-4.15270789091216,0.006,0.077,1
"CD99",0.0619121154300337,4.12807310548409,0.924,1,1
"BTLA",0.0650607734094142,-3.26026910243642,0.019,0.115,1
"CD69",0.0760339233855561,-0.788311119100208,0.373,0.308,1
"CD33",0.0884543841422826,1.26368799138868,0.171,0.058,1
"FAS",0.0927035211488113,-3.15663625373796,0.373,0.442,1
"CD3D",0.101457416458871,1.39009962536062,0.968,0.981,1
"CR1",0.102019145318627,3.4173147742456,0.044,0,1
"LAMP1",0.108698156983006,-3.96366625804393,0.013,0.058,1
"ITGA1",0.113942363907458,4.36266408241377,0.063,0.038,1
"CD47",0.11768854207035,0.355224222666693,0.962,0.808,1
"CLEC4C",0.125966268160328,-1.85686664230954,0,0.019,1
"KLRB1",0.130479625612391,-3.77729133757521,0.019,0.058,1
"THBD",0.132498943153551,-1.63375113786068,0,0.019,1
"IGLC1",0.153339376263462,-1.6459298265899,0,0.019,1
"IL3RA",0.153339376263462,-5.74284916496741,0,0.019,1
"TCR-vA7.2",0.161955991157134,-18.513419028632,0.013,0.058,1
"CD7",0.167327452421505,-1.57073176396868,0.899,0.769,1
"TIGIT",0.178710933927808,-2.67611293598217,0.063,0.231,1
"SLAMF7",0.184240365204087,-7.75563468956466,0,0.019,1
"ANPEP",0.187585625023073,-3.19718054792773,0.013,0.077,1
"Rat-IgG2b",0.18778063872306,-1.68321753377544,0,0.019,1
"CCR5",0.19486180527307,-6.56930521077192,0.019,0.019,1
"TCR-vD2",0.202281935218902,-1.60536339402932,0.013,0.058,1
"SELL",0.205472347689096,-6.79687850658217,0.582,0.654,1
"CD86",0.208737663192435,2.26034142677951,0.089,0.019,1
"CD5",0.228820889334137,0.331957730209508,0.994,1,1
"PDCD1",0.23136587541559,-1.8771264353777,0,0.019,1
"CD1C",0.271199091550878,-1.44622412379682,0.013,0,1
"CD27",0.282726651855619,-1.18466412279177,0.759,0.885,1
"CD226",0.28779882536484,-2.67213456770859,0.633,0.75,1
"ITGA4",0.327542143968319,0.84066556115727,0.595,0.712,1
"ADGRG1",0.401195181368022,-4.7175620857492,0.032,0.058,1
"CD52",0.405441301584142,-0.947410418278261,0.69,0.712,1
"CD40",0.426135972877622,0.535512658856908,0.013,0,1
"CD14",0.428513377830313,-0.928134179477389,0.013,0,1
"Mouse-IgG2a",0.435440353876482,-2.36510260440245,0.051,0.077,1
"KLRK1",0.439351790667128,-1.67418611870573,0.006,0.019,1
"Hamster-IgG",0.453812099610555,-1.23111495974614,0.013,0,1
"KIR2DL3",0.481588113265644,-2.00288919424497,0.013,0.058,1
"SELP",0.518422169310277,-0.79944879057549,0.494,0.615,1
"FCER1A",0.519151881117548,-2.43191761596592,0.019,0.019,1
"ITGA2B",0.519978467897885,0.254144826665824,0.962,0.962,1
"ITGA6",0.53239821879296,-0.900846566490452,0.823,0.885,1
"IL7R",0.5454326389028,-1.89210210041923,0.152,0.365,1
"ITGB2",0.570351919905796,-1.86122357164091,0.481,0.423,1
"DPP4",0.582065305235679,0.778397339851815,0.652,0.654,1
"Rat-IgG2a",0.617285262107468,-2.59352345400483,0.006,0.019,1
"CD4",0.636120667481958,-2.93634161332196,0.981,0.962,1
"HLA-DRA",0.646156177074884,-0.670921761103588,0.019,0.038,1
"CD28",0.657139191958379,-1.5107996618965,0.88,0.942,1
"IGHD",0.68006752116271,-0.60998836315674,0.032,0.038,1
"KIR2DL1",0.70137325598008,-2.32744071580089,0.025,0.019,1
"CD45RO",0.733687194781773,-2.23099461575335,0.449,0.519,1
"PECAM1",0.753668674178529,-0.308148731000581,0.684,0.654,1
"CD48",0.778012057478427,-0.983271195291715,0.93,0.885,1
"KLRG1",0.800010852084979,0.362196044702423,0.032,0.038,1
"CD38",0.804977912614496,8.02307822685726,0.133,0.115,1
"TCR-AB",0.81717106398031,-1.3212410658756,0.487,0.596,1
"MS4A1",0.832160635280447,-0.932726230552603,0.038,0.077,1
"ITGAL",0.848397356634733,-0.918580616254874,0.741,0.635,1
"CCR4",0.880383605987338,-13.7170202795646,0.411,0.596,1
"CD1D",0.890433722133524,-0.637700396350789,0.038,0.038,1
"TNFRSF9",0.894587903640202,-1.82881711462207,0.006,0.019,1
"CD244",0.896218947682789,-0.622046232848399,0.044,0.058,1
"CD44",0.917308387584393,2.34488047573356,0.911,0.885,1
"Mouse-IgG1",0.917550802689756,-0.683960118508145,0.013,0.019,1
"CCR6",0.921258999347226,-2.29746080900528,0.063,0.096,1
