"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS26",0,-1.98805914155172,0.957,0.989,0
"ENSG00000289901",1.98901067795494e-304,-3.58112486028907,0.123,0.545,3.73973787669088e-300
"RPS4Y1",8.5660860659288e-275,0.592437086785989,0.935,0.583,1.61059550211593e-270
"MT-CO1",2.58643854771221e-141,-0.485050388864741,0.999,0.998,4.8630217574085e-137
"MT-CO3",6.4273948492062e-139,-0.496943808877448,0.996,0.996,1.20847877954775e-134
"XIST",7.35132631025714e-103,-9.62736157267417,0,0.105,1.38219637285455e-98
"EEF1A1",1.01825904524051e-92,0.170880265990322,1,0.998,1.9145306568612e-88
"ANK2",7.13212152587211e-89,-2.97924421437177,0.024,0.187,1.34098148929447e-84
"HLA-B",1.29133137235201e-88,0.254266185330332,0.999,0.996,2.42796124629625e-84
"MT-ND4L",8.00445857532277e-87,-0.453841066887667,0.987,0.989,1.50499830133219e-82
"RPS3A",3.19383439779328e-81,0.216176213028835,0.999,0.992,6.00504743473093e-77
"CD7",1.33508199705935e-79,0.899866285380844,0.734,0.57,2.510221170871e-75
"RPS6",1.08727208198893e-70,0.184125303305955,0.998,0.99,2.04428896855558e-66
"IL32",1.90549843781065e-69,-0.787781624403724,0.589,0.778,3.58271816277159e-65
"RPL3",4.3613939268528e-69,0.196574898560081,0.989,0.962,8.20029286126864e-65
"MT-ATP8",2.74465203844264e-68,-0.456777619173891,0.994,0.993,5.16049476267986e-64
"CYTOR",3.69420151606884e-66,-0.972718694235791,0.367,0.562,6.94583769051263e-62
"RPLP1",1.63541555991659e-65,0.166297678240954,0.999,1,3.07490833575518e-61
"RPLP0",3.40396717866346e-64,0.193645718469823,0.993,0.97,6.40013908932303e-60
"MT-ND1",4.4263683259904e-64,-0.408543650377224,0.974,0.987,8.32245772652716e-60
"IFITM2",7.66488173364733e-62,-0.729917379156768,0.512,0.686,1.44115106356037e-57
"RPL18A",1.41844770558187e-60,0.167746250452191,0.997,0.991,2.66696537603504e-56
"NIBAN1",1.78528346563918e-59,-0.707138125949184,0.493,0.711,3.35668997209479e-55
"EEF1B2",3.38704617267682e-59,0.264094262960677,0.982,0.946,6.36832421386695e-55
"RPL13",1.39548152783869e-57,0.133032013569781,0.999,0.997,2.62378436864231e-53
"ST8SIA1",2.56244815829486e-56,-1.91567893066991,0.056,0.183,4.817915027226e-52
"MT-ND2",3.94775082095001e-56,-0.436740200619498,0.952,0.97,7.42256109355021e-52
"MT-CYB",1.40959674761106e-55,-0.34012533900918,0.997,0.995,2.65032380485831e-51
"EEF2",3.86254844917695e-55,0.222592640038263,0.968,0.911,7.2623635941425e-51
