"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CXCR3",7.82475088646795e-79,-11.5952386584528,0.001,0.162,9.62444359035557e-77
"CD2",3.77100903981421e-77,6.89756275339418,0.981,0.904,4.63834111897148e-75
"BTLA",5.07016788172348e-60,-10.4759083506773,0.002,0.14,6.23630649451988e-58
"NT5E",2.5896499536292e-56,-3.29129247995054,0.476,0.714,3.18526944296392e-54
"CD226",1.64741103737649e-55,-6.39768808411981,0.014,0.193,2.02631557597308e-53
"CD45",8.78412816491606e-54,0.971084918872914,0.969,0.902,1.08044776428467e-51
"CD5",7.44285513623e-46,3.93926522445615,0.992,0.991,9.1547118175629e-44
"ICOS",3.88437688925854e-40,-3.62109179435907,0.2,0.497,4.777783573788e-38
"CD3D",2.01810505721719e-38,0.792760654520463,0.949,0.925,2.48226922037714e-36
"SELL",1.67958450422455e-30,-51.023872412079,0.589,0.78,2.06588894019619e-28
"PECAM1",4.9111681285233e-30,-1.33381651145303,0.641,0.784,6.04073679808365e-28
"CD45RA",4.12718116160153e-19,0.798827650582114,0.983,0.985,5.07643282876988e-17
"CD8A",1.6528574972337e-18,-1.31651646000883,0.996,0.996,2.03301472159745e-16
"ITGB2",2.03441928325983e-15,-1.78985537392924,0.458,0.604,2.50233571840959e-13
"CD28",3.59251288513501e-15,-2.31120424827366,0.584,0.773,4.41879084871606e-13
"IL7R",5.33590319110925e-12,-2.88677268742732,0.164,0.355,6.56316092506438e-10
"DPP4",4.52320997268676e-11,-1.32473744428329,0.534,0.524,5.56354826640472e-09
"HLA-A",8.46247623007979e-11,0.23082138454873,0.546,0.44,1.04088457629981e-08
"TCR-vA7.2",2.59387577220738e-10,-4.44058019171987,0.048,0.042,3.19046719981508e-08
"ITGA4",6.914274392758e-09,-1.69622769443767,0.534,0.641,8.50455750309235e-07
"CD44",8.6274155417128e-09,1.15190442587004,0.924,0.919,1.06117211163067e-06
"CD27",8.76759039261789e-09,-3.45918784637913,0.863,0.934,1.078413618292e-06
"KLRK1",2.81188992226451e-07,-2.5072777313473,0.098,0.22,3.45862460438535e-05
"SLAMF7",7.10218506888029e-07,-3.6098438824376,0.015,0.005,8.73568763472275e-05
"CR2",1.01030216802217e-06,-21.1253877863573,0.091,0.159,0.000124267166666727
"CD69",1.28280671756283e-06,-3.69783239926679,0.096,0.138,0.000157785226260229
"LILRB1",2.85179829170306e-06,1.73334994275952,0.009,0.034,0.000350771189879477
"CD86",5.08738124314097e-05,-5.03132274022694,0.118,0.146,0.00625747892906339
"Rat-IgG1",0.000168499580192961,1.48162755516065,0.011,0.004,0.0207254483637342
"FCGR2A",0.000575714338167151,1.85612164131197,0.234,0.168,0.0708128635945596
"TCR-AB",0.00141735076442748,-1.45545158995127,0.26,0.331,0.17433414402458
"PVR",0.00219476027377523,-2.57076093172595,0.01,0.028,0.269955513674353
"CD244",0.00492882000408383,-4.69590361663566,0.021,0.015,0.606244860502311
"CD48",0.00492894869574907,2.79335473077077,0.964,0.952,0.606260689577136
"CD36",0.00524138232153509,-1.92841043581799,0.011,0.019,0.644690025548815
"ADGRG1",0.00574173840578892,-13.5791433232181,0.019,0.015,0.706233823912037
"CD52",0.0115699038115561,-0.336823594789324,0.564,0.582,1
"CD81",0.0124110766499417,-0.167226396738982,0.073,0.116,1
"CD47",0.0142005265160359,-0.543560252696826,0.578,0.597,1
"CR1",0.0150036461827018,-3.86380047358405,0.05,0.032,1
"IGHD",0.0173053021248787,0.641362447563694,0.021,0.01,1
"ICAM1",0.0210461655240158,1.11929795764688,0.037,0.017,1
"CD1C",0.0213962481495032,-0.976908080482098,0.009,0.02,1
"CD7",0.0296267010836958,1.53446346741294,0.984,0.986,1
"ITGA1",0.0307332212981948,-3.3246416632747,0.045,0.069,1
"CD33",0.0368179091404503,-12.0021482850283,0.211,0.162,1
"ITGAL",0.0386090162900053,-1.80676003557437,0.688,0.705,1
"CD19",0.0396880244657732,0.75594151665415,0.008,0.015,1
"ITGA2B",0.0463718414025603,0.803768877084151,0.011,0.006,1
"CD1D",0.0481733705158555,0.553152545346236,0.038,0.024,1
"CD22",0.0489965056799454,1.92736762068891,0.081,0.098,1
"KLRG1",0.0497752170490825,-2.13457699536942,0.017,0.014,1
"ITGA6",0.0551227270829844,-1.10845373971812,0.027,0.028,1
"MS4A1",0.0598216172121571,2.99492784004598,0.04,0.03,1
"Rat-IgG2a",0.124157267213094,-1.46628513858372,0.004,0.012,1
"FCER1A",0.149400110859325,0.497854991665678,0.013,0.01,1
"CLEC12A",0.16011408425987,-2.12591062229395,0.037,0.039,1
"ITGAX",0.25850102053352,-5.10079272425806,0.272,0.222,1
"FAS",0.290117426776302,-2.29720867543949,0.011,0.018,1
"ANPEP",0.30591733820009,-0.181724527038423,0.019,0.017,1
"Rat-IgG2b",0.325292438894637,1.22299869726287,0.009,0.01,1
"CD45RO",0.33111369676759,-4.79727995547701,0.007,0.014,1
"CD38",0.427323783919702,-4.89273590974203,0.15,0.181,1
"TIGIT",0.53867158105832,-0.284231192841936,0.01,0.01,1
"KIR3DL1",0.63119845501618,-24.1347038127123,0.011,0.013,1
"CCR6",0.691295585312712,-0.214420742291599,0.02,0.02,1
"CD274",0.747116649549886,-6.03879631690131,0.007,0.011,1
"ENTPD1",0.852841319206456,-3.58585873182971,0.02,0.018,1
"HLA-DRA",0.878769258049276,5.9053945675553,0.022,0.02,1
