"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ITGA1",5.02598619986688e-153,-18.5293791485452,0.022,0.26,6.18196302583627e-151
"CD45",2.3747089236848e-136,1.33647549945027,0.972,0.92,2.9208919761323e-134
"CD2",3.33441960492854e-127,1.65019153344975,0.894,0.908,4.10133611406211e-125
"CD226",1.01849117752696e-119,-4.30023608540316,0.25,0.414,1.25274414835816e-117
"CD3D",1.04871305801198e-118,2.19510919004713,0.936,0.877,1.28991706135474e-116
"CD99",3.22372457927764e-100,2.46825828344326,0.986,0.981,3.9651812325115e-98
"KLRG1",2.15491535465696e-91,-5.80969987899157,0.425,0.738,2.65054588622807e-89
"ITGAL",5.22973363399484e-88,0.798993017829302,0.998,0.991,6.43257236981366e-86
"LILRB1",2.16168530300321e-84,-4.96387976806566,0.042,0.24,2.65887292269395e-82
"CD45RA",1.19766845462779e-75,0.759204495564969,0.863,0.806,1.47313219919218e-73
"TCR-vA7.2",5.04756918116231e-54,-7.17347365465982,0.12,0.062,6.20851009282964e-52
"FCGR3A",9.84432189660739e-52,2.69695189336094,0.194,0.065,1.21085159328271e-49
"KIR2DL3",8.10438792614594e-48,1.76519095527261,0.121,0.028,9.96839714915951e-46
"KIR3DL1",2.50979697775395e-46,-12.4134541306528,0.157,0.06,3.08705028263736e-44
"B3GAT1",5.03489394194972e-45,3.8123940480366,0.759,0.559,6.19291954859815e-43
"CD8A",6.47731585590539e-43,0.655738058475649,0.894,0.954,7.96709850276363e-41
"CD58",1.51884289685216e-42,-8.17423706399714,0,0.054,1.86817676312816e-40
"CD48",3.72591158873685e-39,0.885647472298297,0.791,0.707,4.58287125414633e-37
"FAS",1.04257403015219e-34,-2.34904961014234,0.528,0.532,1.28236605708719e-32
"HLA-A",2.73849023010216e-33,0.78534640970257,0.77,0.76,3.36834298302566e-31
"NCAM1",2.09851247472916e-32,-5.48484649132827,0.138,0.071,2.58117034391687e-30
"CD38",3.03030370387247e-28,-0.641942544346336,0.29,0.183,3.72727355576314e-26
"CD44",7.63536901399911e-22,1.29004172059816,0.891,0.88,9.3915038872189e-20
"CD7",1.55653347918631e-21,2.74082473007934,0.495,0.43,1.91453617939916e-19
"KLRK1",6.59311391211014e-19,-4.68993575689118,0.103,0.292,8.10953011189547e-17
"CD47",5.65600901454617e-17,0.494585385075874,0.238,0.165,6.95689108789179e-15
"FCGR2A",4.40816181799962e-16,-2.68036843525356,0.198,0.296,5.42203903613953e-14
"KIR2DL1",2.06188215540387e-14,-0.269032381306071,0.053,0.024,2.53611505114676e-12
"ICAM1",1.76271120608132e-13,-7.83062664902363,0.093,0.175,2.16813478348002e-11
"CD5",7.18736910237627e-13,1.74577432671094,0.591,0.622,8.84046399592281e-11
"ADGRG1",5.28603304558161e-11,-2.85169068747137,0.95,0.899,6.50182064606538e-09
"NT5E",1.37410421702717e-10,-6.49558105244852,0.003,0.036,1.69014818694342e-08
"CXCR3",1.5892214892104e-10,-7.256168925166,0.001,0.02,1.95474243172879e-08
"CCR5",2.5926860048016e-10,-4.98083092364104,0.005,0.031,3.18900378590597e-08
"IL2RB",4.03667461652283e-09,-5.47143247010214,0.002,0.023,4.96510977832308e-07
"IL7R",1.34276088663261e-08,-6.94791833820287,0.004,0.043,1.65159589055811e-06
"SLAMF7",1.9975326428472e-07,-8.6648778600173,0.015,0.013,2.45696515070206e-05
"CD4",2.90870477348488e-07,-2.66437899141615,0.012,0.007,3.5777068713864e-05
"CD1C",5.81592077582927e-06,-1.77451666280793,0.016,0.013,0.000715358255427
"CD14",1.41087327698513e-05,-2.24248233527605,0.006,0.019,0.00173537413069171
"CD45RO",2.15057504994413e-05,-4.73098711807821,0.141,0.192,0.00264520731143128
"KLRD1",2.16431604638594e-05,-6.9969330738908,0.275,0.302,0.00266210873705471
"BTLA",5.00661868863503e-05,-2.63725170649082,0.001,0.012,0.00615814098702109
"CR1",6.61222339923702e-05,0.891810694953235,0.021,0.006,0.00813303478106153
"CD28",7.81078335192945e-05,-3.29133203702071,0.013,0.056,0.00960726352287323
"PDCD1",8.37250079144445e-05,-6.18052555265848,0.001,0.01,0.0102981759734767
