"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD99",2.07656688388686e-24,2.80815973520576,1,0.98,2.55417726718084e-22
"ITGA1",1.41931910017054e-18,-30.4834525623636,0.14,0.796,1.74576249320976e-16
"CD7",2.62106074785706e-14,-0.966557895829634,0.86,0.484,3.22390471986418e-12
"FAS",5.55882236964983e-14,-3.8766292721079,0.7,0.96,6.8373515146693e-12
"NCAM1",2.15758147392016e-07,-4.69859239955912,0.86,0.569,2.6538252129218e-05
"CD2",2.75429219493274e-07,-0.501200141682101,0.94,0.784,3.38777939976727e-05
"IL2RB",4.01442790143869e-07,-7.19822161489519,0,0.271,4.93774631876959e-05
"CD244",4.87489041874707e-07,-0.591254899371489,1,1,5.9961152150589e-05
"ICAM1",5.49623276202884e-07,-2.04286948826205,0.62,0.273,6.76036629729548e-05
"ADGRG1",6.43584992137671e-07,-9.50050251973169,0.84,0.969,7.91609540329335e-05
"KLRG1",1.39738597436719e-06,-1.55836769398708,0.32,0.733,0.000171878474847165
"B3GAT1",1.48940924459445e-06,-1.69979554325915,0.78,0.682,0.000183197337085118
"LILRB1",3.61513104895389e-06,-4.99454350689617,0.1,0.38,0.000444661119021329
"ITGA4",5.84164378056947e-06,-1.79443201407508,1,0.998,0.000718522185010045
"ITGAX",7.82797634880107e-06,-6.50615212814782,0.38,0.642,0.000962841090902531
"CD48",0.000124113903444758,1.94335395770554,0.58,0.464,0.0152660101237052
"CD8A",0.00012865051908914,1.94227972474723,0.66,0.42,0.0158240138479642
"CD226",0.000183094214939736,-3.1785016972914,0.24,0.516,0.0225205884375875
"NCR1",0.000194633696880573,-14.5212923575755,0.04,0.28,0.0239399447163104
"FCGR3A",0.000212174550390372,-11.2921716119279,0.02,0.227,0.0260974696980157
"FCGR2A",0.000379095465592487,-2.03998385496563,0.28,0.462,0.0466287422678759
"SELL",0.00097424352387862,-42.7367390011726,0.3,0.129,0.11983195343707
"TIGIT",0.00164247473897602,-0.554670297350953,0.34,0.631,0.20202439289405
"KIR2DL1",0.00398905261236535,-1.5535929905323,0.88,0.931,0.490653471320939
"CD52",0.00616973725197473,0.328985619103735,0.14,0.067,0.758877681992891
"CD81",0.00639935716114544,-3.13093315247241,0.04,0.244,0.787120930820889
"CXCR3",0.00684178712851701,-4.77504532045202,0,0.102,0.841539816807593
"CD3D",0.0092218719381671,-2.23158013101426,0.88,0.764,1
"CR1",0.00922972265433233,3.92037149426318,0.08,0.004,1
"ENTPD1",0.00929187858203181,2.52711450508118,0.08,0.009,1
"HLA-DRA",0.0171705943258347,-2.59561650348642,0.1,0.26,1
"ITGAL",0.0200909873587326,-0.937257880587411,1,0.991,1
"CD82",0.0307715165969328,4.31113510236958,0.02,0,1
"CD1D",0.0416207755746216,2.39604732928851,0.1,0.016,1
"CD58",0.0531688084566184,-3.26987638078511,0,0.056,1
"CD38",0.0649387460416465,-3.5318057331387,0.1,0.251,1
"SLAMF7",0.0707793596462608,-8.6328603869704,0.02,0.018,1
"NT5E",0.0755657057073642,3.21235815202493,0.02,0,1
"CD44",0.0798064196462797,-0.320131986527048,0.92,0.98,1
"KLRK1",0.0822057311142018,0.528804432816498,0.06,0.191,1
"CD40",0.0908387252465382,3.3149515479624,0.02,0,1
"CD14",0.092267073671608,3.77566485810321,0.02,0,1
"ITGA2B",0.118916643041019,1.6255700181386,0.02,0.004,1
"PECAM1",0.131398825201442,3.51971160475564,0.04,0.007,1
"CD45RO",0.153471846281895,0.616834752830355,0.02,0.024,1
"CD19",0.194594614949013,-7.02301431388182,0,0.018,1
"CR2",0.264032952176224,-2.78103249061095,0,0.016,1
"CD47",0.277766652035099,0.213594765520443,0.12,0.147,1
"DPP4",0.285991575249586,-3.49237350824101,0.02,0.009,1
"CD27",0.292336892683657,0.107421557641459,0.02,0.022,1
"CD22",0.301946966901295,0.115476518458481,0.1,0.127,1
"CCR5",0.302944037210486,-1.94352195326312,0.02,0.08,1
"CD1C",0.318554329233612,0.543855649569016,0,0.016,1
"CLEC12A",0.321752217055569,2.08154859517802,0.02,0.007,1
"CD33",0.346582212232005,-0.281363759859807,0.16,0.111,1
"HLA-A",0.357572532829667,-0.974496335341838,0.52,0.496,1
"TCR-AB",0.381705589244887,0.487229980403062,0.04,0.02,1
"ITGB2",0.397614678991888,0.519451061916747,1,0.989,1
"KLRB1",0.437659900174699,-3.98320011649475,0,0.011,1
"OLR1",0.442812492593936,-81.8380297193103,0,0.013,1
"FCGR1A",0.462152896382509,2.82935472961484,0.02,0.004,1
"CD5",0.462219583645259,-5.42041188162614,0.04,0.033,1
"CD45",0.515476195124639,-0.130158069670628,0.8,0.9,1
"KIR2DL3",0.516327963409639,-11.0568251627125,0.14,0.107,1
"CD28",0.553180390933665,-5.29878126727578,0,0.013,1
"ICOS",0.598419198056334,-2.33785052234408,0.12,0.169,1
"Rat-IgG1",0.609384939709242,-1.66250502441291,0,0.011,1
"ITGA6",0.628707989896053,-0.682021988885126,0.02,0.024,1
"MS4A1",0.632962534616912,1.0168912006048,0.12,0.064,1
"CD69",0.654626020574552,-10.0218653439335,0.02,0.044,1
"CD45RA",0.661075615196652,-0.381610602060391,0.96,0.969,1
"KIR3DL1",0.734302481262611,-28.5789597131132,0.04,0.024,1
"CD86",0.746677156719073,-7.01236761552661,0.24,0.24,1
"CCR6",0.815624697779748,1.62305895231099,0.02,0.024,1
