"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS26",2.63944486437252e-19,-1.44644388886165,1,1,4.96268423399322e-15
"IL32",3.54082245466604e-14,-3.77388900120128,0.143,0.884,6.65745437926308e-10
"LARS1",2.92717677266556e-06,2.79240345823832,0.514,0.072,0.0550367776796579
"ENSG00000289901",8.33365894598417e-06,-3.1351375429611,0.143,0.58,0.156689455502394
"PPIA",2.35623076701405e-05,0.613030765197508,1,0.986,0.443018508813981
"ITPKC",2.86761918773452e-05,4.59360956028818,0.229,0,0.539169759677845
"DYRK1A",5.44536573095581e-05,-1.38245716193421,0.229,0.638,1
"IDH3G",5.50764716543417e-05,-1.19593718493744,0.029,0.246,1
"PRF1",9.43539352402806e-05,1.24588724594816,0.886,0.696,1
"KLF12",0.000112002640069851,-2.09607479093993,0.143,0.551,1
"AKAP13",0.000159575433825981,-0.735265318708991,0.943,0.971,1
"REL",0.000197279900928229,-0.658926221218858,0.771,0.986,1
"FOS",0.000252727220657252,-2.99580039494356,0.171,0.551,1
"HACD3",0.000269808741393161,3.6132394303784,0.314,0.029,1
"UBE2N",0.000328466778857723,1.31881744514754,0.657,0.391,1
"CPNE7",0.000393109891393993,4.22647174515874,0.171,0,1
"ABLIM1",0.000509452413465411,-1.46964358687551,0.486,0.797,1
"PIK3R5",0.000523337691459804,-1.26842987242217,0.486,0.623,1
"LGALS3",0.000534125932264019,1.69987399076412,0.629,0.275,1
"IFNAR2",0.000550377035667171,1.58743268526383,0.629,0.246,1
"BCAR3",0.00071502973113488,2.29459872133421,0.457,0.13,1
"DCUN1D5",0.000838030192034138,1.69009502136475,0.4,0.087,1
"IL9R",0.000854443878312964,1.21009226647364,0.086,0.116,1
"ENSG00000280441",0.000859456737557164,-0.516331535277267,1,1,1
"RPS29",0.000905428124701137,-0.557317246039594,0.971,1,1
"BZW2",0.000959724838370318,2.05710062740885,0.371,0.072,1
"EPS15-AS1",0.000975014432532744,4.14778142714511,0.143,0,1
"NFE2L2",0.0009771864783826,-1.16571604054329,0.571,0.754,1
"JUND",0.000997998769409606,-0.646094117197682,1,1,1
"IFI35",0.00100932201280187,2.38989673435093,0.343,0.058,1
"EYA3",0.00104891462645082,1.12204573732831,0.4,0.13,1
"ACSL5",0.00109124310490079,2.69783723194557,0.371,0.087,1
"PLA2G4A",0.00113917168471384,3.26921888568681,0.114,0,1
"BOP1",0.00115184123030272,2.3234585664921,0.343,0.058,1
"MBP",0.00115437835432696,-0.826287635885278,0.829,0.855,1
"ARID4B",0.00119552605747214,-1.02184027094758,0.629,0.855,1
"ATP5F1B",0.00122007792943596,0.57106209928181,1,0.913,1
"GGNBP2",0.00128979031733388,-2.13198213602122,0.171,0.507,1
"TTN",0.00129414353646106,3.33813651510445,0.229,0.014,1
"PEX6",0.00129655911658662,3.96385227333364,0.143,0,1
"NUDT9",0.00139252662487369,3.96230886269204,0.143,0,1
"DRAIC",0.00139914995245067,4.59008399185127,0.143,0,1
"TNFSF9",0.00144912754766543,-3.34642330857882,0.114,0.42,1
"CMIP",0.00155088408459467,-1.25279850125446,0.4,0.681,1
"VIPAS39",0.00155643507427504,3.25408697955945,0.229,0.014,1
"IMP4",0.00164402341483885,2.37513318444263,0.4,0.101,1
"EDF1",0.00164672166032219,0.605178039704261,1,0.841,1
"CKAP5",0.00168860314218242,-0.795792162574435,0.057,0.188,1
"TBC1D2B",0.00170163673153979,1.37831671947053,0.4,0.232,1
