"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS26",0,-2.27983906033127,0.927,1,0
"RPS10",3.45168858391523e-186,-0.635773849697003,0.995,0.999,6.48986487547742e-182
"IL32",2.52918282429468e-165,-1.26282728751425,0.437,0.868,4.75536954623885e-161
"ENSG00000289901",3.6054874162363e-160,-3.33493155340911,0.149,0.577,6.7790374400075e-156
"FCER1G",1.15117049933741e-120,1.49992854366715,0.61,0.23,2.16443077285419e-116
"GNLY",4.43550126600256e-116,-0.639128366175856,0.895,0.977,8.33962948033801e-112
"MT-CO3",4.03384780089126e-110,-0.587596729488569,0.991,0.993,7.58444063523574e-106
"CD38",2.76202778115936e-103,1.70937490087051,0.55,0.222,5.19316463413584e-99
"KIR3DL2",1.0159918756247e-100,-1.75502625265801,0.166,0.519,1.91026792454956e-96
"KLRC2",1.63347330182041e-94,-1.34097764947349,0.557,0.772,3.07125650208274e-90
"CD2",5.48056411099636e-90,-1.56054159144215,0.276,0.616,1.03045566414954e-85
"KLRB1",4.32645871401452e-88,1.24362513365248,0.661,0.327,8.13460767409011e-84
"CD3D",1.33028060272576e-83,-1.75963130443978,0.106,0.402,2.50119358924496e-79
"HLA-G",1.72759860029307e-72,-4.13934931948718,0.015,0.204,3.24823088827103e-68
"CLIC3",3.89630712680694e-66,1.23934465762499,0.665,0.457,7.3258366598224e-62
"LINC02446",3.0916240521273e-64,-2.83768342472131,0.053,0.269,5.81287154280974e-60
"ANK2",6.7762719017523e-63,-3.44453756451924,0.025,0.215,1.27407464296747e-58
"MT-ND4",3.49256235039484e-61,-0.583913419153432,0.93,0.978,6.56671573121239e-57
"RPS29",3.63082071786663e-61,-0.455962731023198,0.978,0.992,6.82666911373284e-57
"HLA-DRB1",1.57676213721426e-60,-1.3602371579457,0.324,0.6,2.96462817039026e-56
"KLRC1",9.32745756775245e-60,1.57309669207522,0.375,0.141,1.75374857188882e-55
"RPS21",9.77886018990769e-60,-0.359824046061627,0.996,0.999,1.83862129290644e-55
"S100A10",9.22758193681651e-58,-0.618065975815015,0.864,0.961,1.73496995576024e-53
"RPL39",2.26257464243443e-54,-0.328648550516281,0.998,0.999,4.25409284270521e-50
"MT-ND5",1.094433760338e-51,-0.494151538171156,0.934,0.98,2.05775435618751e-47
"ENSG00000235979",2.02160721520407e-50,1.94867949274386,0.247,0.152,3.8010258860267e-46
"CEBPD",1.32537835729684e-49,0.991344372895531,0.551,0.311,2.49197638738952e-45
"IL12RB2",1.89944016082047e-48,2.00750454375915,0.218,0.061,3.57132739037464e-44
"PBX4",1.96543153804919e-48,-1.63537336164936,0.147,0.37,3.69540437784009e-44
"SIPA1L1",2.59253551728379e-48,1.06010646930751,0.55,0.361,4.87448527959698e-44
"THEMIS2",9.43337017583098e-48,2.32719549381887,0.196,0.049,1.77366226045974e-43
"CLEC2D",1.25909501105068e-47,-0.940477135930013,0.44,0.682,2.36735043977749e-43
"ENSG00000255745",3.19525800083699e-45,8.78473851836263,0.069,0,6.0077240931737e-41
"MT-CO1",2.67499318832832e-44,-0.307771630964663,0.994,0.997,5.02952219269491e-40
"GNG2",8.01015586142655e-42,0.555113243756357,0.949,0.921,1.50606950506542e-37
"MT-ND4L",1.45484523149866e-41,-0.364367519088287,0.977,0.985,2.73540000426378e-37
"KIR2DL1",7.49567673340448e-41,-0.790909335526635,0.12,0.302,1.40933713941471e-36
"ANXA5",1.10331124306961e-39,-1.01825962246283,0.28,0.521,2.07444579921948e-35
"RPL28",1.30925104997523e-39,-0.236675082176906,1,1,2.46165382416342e-35
"KIR3DL1",4.31224434888785e-39,1.86173600725351,0.218,0.065,8.10788182477894e-35
"MT-ND1",4.61185810057514e-38,-0.443676332367616,0.927,0.972,8.67121560070137e-34
"PARD6G",1.0376526399126e-37,-2.47183878007364,0.029,0.167,1.95099449356367e-33
"IFITM2",9.93153370698786e-37,-0.452623227078015,0.881,0.956,1.86732696758786e-32
"GZMB",1.99593338143991e-36,0.602907528237341,0.972,0.955,3.75275394378331e-32
"SPON2",2.53125609798407e-36,0.912892049006621,0.642,0.464,4.75926771542965e-32
"RPS28",3.15631904034365e-36,-0.239456459751104,0.999,1,5.93451105965414e-32
"MT-ATP6",3.65973811173056e-36,-0.448937904045366,0.9,0.956,6.8810395976758e-32
"CD7",9.85270565117409e-36,0.505210507433902,0.913,0.883,1.85250571653375e-31
"MARCHF3",1.10485325451309e-35,1.14055811495971,0.39,0.214,2.07734508913552e-31
"ITM2A",1.52283561512185e-35,-1.29046241946837,0.179,0.386,2.86323552355211e-31
"BNC2",3.77712719448774e-34,1.49034736203413,0.286,0.124,7.10175455107586e-30
"ZBTB16",4.19270447946824e-33,1.54720000402045,0.249,0.101,7.88312296229619e-29
"HAVCR2",1.29603792392621e-32,0.892553567252425,0.531,0.384,2.43681050456606e-28
"SYK",1.57449404319284e-32,1.77694173391864,0.182,0.059,2.96036370001117e-28
"CYTH3",2.04693293536219e-32,1.93591874312592,0.159,0.048,3.84864330506799e-28
"TNFAIP3",3.4114685137158e-32,0.526474134564781,0.937,0.9,6.41424309948846e-28
"RPL14",1.36481419189081e-31,-0.223500916609059,0.999,0.999,2.56612364359311e-27
"S100B",1.4097154914063e-31,-4.2305692635338,0.01,0.102,2.65054706694213e-27
"RPS27",2.58307968676818e-31,-0.20930873699943,1,1,4.85670642706153e-27
"CD5",1.02821748172322e-30,-2.80519294891256,0.015,0.117,1.93325450913599e-26
"BACH2",1.04275613708635e-30,0.700702305553674,0.575,0.445,1.96059008894975e-26
"ENSG00000290537",2.75602400434837e-30,-1.67302711307977,0.065,0.21,5.18187633297581e-26
"MT-CYB",3.54366763418769e-30,-0.285444939117016,0.99,0.991,6.6628038857997e-26
"LINC01871",3.9775355579785e-30,-1.12876270921034,0.184,0.361,7.47856235611118e-26
"TIGIT",8.9258097068419e-30,-0.954321051445751,0.276,0.474,1.67823074108041e-25
"HLA-DRB5",9.13096609826723e-30,2.20382270550132,0.147,0.046,1.7168042457962e-25
"CSGALNACT1",1.5357347949614e-29,-1.28012535927633,0.118,0.286,2.88748856148642e-25
"LAG3",1.53701545713432e-29,-1.1876897762254,0.108,0.267,2.88989646250394e-25
"CLEC2B",4.37106925653423e-28,0.472030972549788,0.911,0.877,8.21848441613566e-24
"AKR1C3",4.86796768058579e-28,1.75045502909799,0.182,0.06,9.1527528330374e-24
"GRAP2",5.45931020500013e-28,-1.05978618256949,0.202,0.382,1.02645950474412e-23
"IGFBP7",5.94867372267326e-28,1.21510388164948,0.306,0.158,1.11846963333703e-23
"EIF4A1",1.16518502701227e-27,0.386129697065686,0.935,0.922,2.19078088778846e-23
"FTH1",2.24492391358553e-27,0.517043139935446,0.997,0.996,4.22090594232351e-23
"S100A6",2.66510945476987e-27,-0.46369692136151,0.826,0.915,5.01093879685831e-23
"RPL35A",3.73935164163858e-27,-0.206004877481188,0.997,0.999,7.03072895660886e-23
"RPL36A",6.36327202997751e-27,-0.327819470708247,0.943,0.982,1.19642240707637e-22
"RPS19",6.74075887866968e-27,-0.200239170943884,1,1,1.26739748436747e-22
"KLRG1",7.39584628083763e-27,-1.37014923443192,0.082,0.222,1.39056701772309e-22
"ABTB3",7.87279404806422e-27,1.46726467615944,0.222,0.098,1.48024273691703e-22
"IKZF2",1.11551231170605e-26,-1.20957407440319,0.175,0.348,2.09738624846971e-22
"MT-ND2",1.55320923845469e-26,-0.371219492171811,0.931,0.963,2.92034401014252e-22
"MT-ATP8",3.90659721976838e-26,-0.287558933521538,0.984,0.991,7.34518409260851e-22
"TAMALIN",7.96980699027862e-26,1.15323539740399,0.274,0.137,1.49848311031219e-21
"RPS12",8.68115861861461e-26,-0.20201502524596,1,1,1.63223144347192e-21
"RPS16",1.43602643178479e-25,-0.283306085653468,0.984,0.996,2.70001689704176e-21
"LCP1",2.12683107430179e-25,0.459021709272738,0.86,0.826,3.99886778590223e-21
"MCOLN2",3.06055517287885e-25,-1.17077599156066,0.116,0.27,5.75445583604681e-21
"PTMS",3.52438109903479e-25,-1.2444994840001,0.108,0.256,6.62654134240522e-21
"PPDPF",7.52327810167788e-24,-0.416473394063545,0.797,0.883,1.41452674867747e-19
"FASLG",9.12472877481596e-24,0.603751868531786,0.531,0.472,1.7156315042409e-19
"IL18RAP",9.75732033558954e-24,1.05244889112142,0.276,0.146,1.83457136949755e-19
"H3-3A",9.91157841609992e-24,0.326183892867724,0.968,0.968,1.86357497379511e-19
"CD3G",1.51003115677517e-23,-1.15497554638998,0.075,0.196,2.83916058096867e-19
"KIF13A",2.45939183097092e-23,1.75320600274237,0.127,0.041,4.62414852059152e-19
"GAPDH",2.81499442222025e-23,-0.365106965175389,0.987,0.991,5.29275251265852e-19
"ENSG00000285751",4.37982692075696e-23,-7.2289643969435,0,0.05,8.23495057640724e-19
"RPL32",5.96013101229468e-23,-0.166192422598216,1,1,1.12062383293164e-18
"ITGB2",6.24406983910975e-23,0.503293593639863,0.746,0.689,1.17401001114941e-18
"SH2D1B",7.90042545378584e-23,0.558249716550659,0.703,0.632,1.48543799382081e-18
"CTSD",9.25164105927835e-23,0.662046276994024,0.578,0.438,1.73949355196552e-18
"PRSS57",9.67166974199832e-23,2.96862914083482,0.069,0.009,1.81846734489052e-18
"LINC00944",1.0704120132658e-22,-1.28110842075626,0.085,0.212,2.01258866734236e-18
"MVB12B",3.3673120387939e-22,-1.84162659365264,0.034,0.132,6.3312200953403e-18
"KLHL6",5.05467114714528e-22,1.43592373621764,0.155,0.067,9.50379269086255e-18
"CRIP1",5.48018771242603e-22,-0.344228389348533,0.958,0.988,1.03038489369034e-17
"GFOD1",9.09438290173938e-22,0.837185740052562,0.414,0.275,1.70992587318504e-17
"ABCG1",9.99499131182162e-22,1.10569749362838,0.246,0.141,1.8792582664487e-17
"CCL4",1.06908714784807e-21,1.03630776311198,0.686,0.62,2.01009765538394e-17
"CD81",1.60974162164295e-21,0.4197669152292,0.776,0.687,3.02663619701308e-17
"MCTP2",1.74525245521562e-21,0.600234214603577,0.563,0.461,3.2814236662964e-17
"LILRB1",1.96616307975538e-21,-1.57745652296367,0.06,0.171,3.69677982255607e-17
"BCAR3",2.13381710133696e-21,1.80532292418407,0.109,0.034,4.01200291393374e-17
"RPS15",3.33137946365143e-21,-0.167732802015943,0.998,1,6.26365966755742e-17
"GZMH",3.42346220369382e-21,-0.330588470030526,0.73,0.86,6.43679363538511e-17
"HLA-DRA",4.68602999565758e-21,-1.02797114919833,0.161,0.316,8.81067359783539e-17
"RPL36",4.98334496588768e-21,-0.226068353222989,0.987,0.998,9.36968520486202e-17
"GPHN",6.46686306651953e-21,-1.13998915103354,0.1,0.231,1.215899593767e-16
"CCL4L2",1.18515407604934e-20,0.331130756691539,0.147,0.25,2.22832669378797e-16
"RPL11",1.39177696461438e-20,-0.155395520002003,1,1,2.61681904886795e-16
"ASAP1",2.10070086585197e-20,0.662400397182075,0.465,0.359,3.94973776797488e-16
"GOLM1",2.12394852575156e-20,-1.01939816148809,0.124,0.256,3.99344801811808e-16
"NOTCH2NLR",2.25390203420457e-20,3.90889644154212,0.048,0.004,4.23778660471143e-16
"MXRA7",4.07202600264052e-20,-0.59112786216855,0.515,0.664,7.6562232901647e-16
"TRBC1",4.17656842790759e-20,-0.25757185743687,0.603,0.762,7.85278395815186e-16
"TLE1",4.34753342085178e-20,0.975109696995708,0.281,0.16,8.17423233788551e-16
"EFNA5",5.12641855439639e-20,-1.38706830279637,0.078,0.196,9.6386921659761e-16
"RPL38",6.28037657427023e-20,-0.267354241977483,0.954,0.979,1.18083640349429e-15
"DOCK10",1.37756118308258e-19,0.63108451739167,0.461,0.379,2.59009053643187e-15
"RIOK3",1.99054706908127e-19,0.55099377536791,0.505,0.411,3.74262659928661e-15
"GPX1",2.36718410093471e-19,1.03957994239426,0.241,0.14,4.45077954657744e-15
"ENSG00000278996",2.74600527678544e-19,0.544575269253984,0.912,0.883,5.16303912141198e-15
"RPS18",2.77736953629315e-19,-0.20230357908159,0.999,0.999,5.22201020213839e-15
"CCL3",2.78149312944642e-19,1.39966188504163,0.325,0.201,5.22976338198516e-15
"RPL37",2.81413139569665e-19,-0.16621053768054,1,1,5.29112985018884e-15
"FGL2",3.25963878603553e-19,-2.44063123424231,0.019,0.092,6.12877284550401e-15
"CADM1",4.95505016147542e-19,-1.40778829739044,0.085,0.199,9.31648531360609e-15
"NIBAN1",9.55557810126977e-19,-0.605843248718756,0.437,0.617,1.79663979460074e-14
"RPL12",2.28601724764243e-18,-0.164592674035945,0.999,0.999,4.2981696290173e-14
"RPL19",3.44254395138154e-18,-0.152323444528841,1,1,6.47267113738757e-14
"RBFOX2",3.85206540582929e-18,-0.230075918621869,0.979,0.994,7.24265337604023e-14
"DSTN",4.10715270858226e-18,-0.497048982642306,0.563,0.704,7.72226852267637e-14
"PLCB1",4.2006048985653e-18,0.785591962908008,0.337,0.222,7.89797733028248e-14
"CSF1",4.53567910321159e-18,-1.67112019630871,0.04,0.13,8.52798384985843e-14
"SDCBP",4.76104359727852e-18,0.543268036211066,0.675,0.594,8.95171417160307e-14
"TC2N",5.12574908080315e-18,-1.16926349190629,0.095,0.214,9.63743342172608e-14
"NINJ1",5.91496658244814e-18,0.727156894808538,0.375,0.255,1.1121320168319e-13
"CD55",7.93415839570702e-18,0.629158905821839,0.556,0.468,1.49178046156083e-13
"ZBTB38",1.04400997191232e-17,-0.656534557399572,0.274,0.431,1.96294754918954e-13
"IER5L",1.05731156581413e-17,-0.818671325039313,0.179,0.319,1.98795720604373e-13
"CDC42",1.18938230680831e-17,0.309434935600839,0.812,0.787,2.23627661326098e-13
"CMC1",1.32040649230851e-17,-0.102769130271502,0.52,0.45,2.48262828683845e-13
"TMEM273",1.55963989776074e-17,-1.2405556105065,0.069,0.173,2.93243493576975e-13
