"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS26",0,-2.76133754764384,0.93,1,0
"MT-CO1",1.84458718180689e-174,-0.738332888290192,0.997,1,3.46819281923331e-170
"RPS10",2.62888639118964e-151,-0.62649391186754,0.998,1,4.94283219271477e-147
"MT-CO3",2.32346823845983e-103,-0.741140707316853,0.997,0.999,4.36858498195216e-99
"ENSG00000289901",8.89706851281975e-103,-3.66653698134283,0.128,0.588,1.67282682178037e-98
"RPS29",1.51713875451063e-74,-0.499069411634926,0.997,1,2.85252428623088e-70
"IFITM2",4.70961000235208e-54,-1.24922198992586,0.609,0.821,8.85500872642238e-50
"GNLY",2.08626185503868e-46,-1.42623003796255,0.224,0.529,3.92258953984373e-42
"RPS27",3.49686136131631e-46,-0.235710619076822,1,1,6.57479873154693e-42
"ANK2",3.50898518112956e-45,-3.5233255962878,0.028,0.261,6.59759393755981e-41
"S100A11",9.25012492459191e-45,-0.816613798738618,0.662,0.896,1.73920848832177e-40
"RPS21",2.72606791755809e-42,-0.308596808812324,0.998,1,5.12555289859273e-38
"TUBB4B",3.23253687461592e-41,1.13544530026086,0.705,0.576,6.07781583165285e-37
"HLA-DRB5",3.20186848210511e-39,2.2900619054598,0.271,0.078,6.02015312005402e-35
"HLA-G",5.23258333188143e-39,-4.01917781254712,0.015,0.198,9.83830318060346e-35
"MT-ND4",1.67207985131086e-32,-0.558686516675407,0.911,0.976,3.14384453643468e-28
"RBFOX2",4.86842141890236e-30,-0.327250585172578,0.995,0.998,9.15360595182021e-26
"COTL1",3.3490758669878e-29,0.615660099735876,0.847,0.704,6.29693244511047e-25
"SLA2",1.08785464183927e-28,0.762022647540445,0.68,0.584,2.0453842975862e-24
"ITM2A",2.65195839016509e-28,-0.872314605306524,0.513,0.75,4.9862121651884e-24
"SMDT1",1.4405129418386e-27,1.29249047026352,0.347,0.167,2.70845243324493e-23
"CTSW",4.64104561228171e-26,-0.539618312343126,0.724,0.884,8.72609396021207e-22
"MT-ND5",5.87098166171282e-26,-0.469943881439121,0.955,0.981,1.10386197203524e-21
"TUBA1B",6.34942114285544e-26,0.751852669021403,0.773,0.687,1.19381816327968e-21
"RPL37A",1.38662911634315e-25,-0.263087103386713,0.997,0.998,2.60714006454839e-21
"RPS28",3.1905718951819e-25,-0.212523331054019,0.998,1,5.99891327732101e-21
"APOBEC3F",7.16652896732084e-25,1.41871532533818,0.305,0.156,1.34745077643566e-20
"CD8B",1.21803615992897e-24,0.65545884193145,0.791,0.702,2.29015158789845e-20
"RPL37",1.60016904535027e-24,-0.212195988787529,1,1,3.00863783906758e-20
"CRIP1",2.77760916226305e-23,-0.376151620704674,0.992,0.995,5.22246074688698e-19
"MT-ATP6",4.43766216459793e-23,-0.489383114530401,0.88,0.95,8.34369240187703e-19
"TUBB2A",6.40743932759717e-23,1.52375804850328,0.315,0.169,1.20472674237482e-18
"MT-ND2",8.00922955686782e-23,-0.485110792023459,0.914,0.963,1.50589534128229e-18
"TUBA4A",8.38455550555845e-23,0.71226122775026,0.938,0.9,1.5764641261551e-18
"HSP90AB1",3.12748699934069e-21,0.551521920698358,0.953,0.921,5.88030105616036e-17
"MT-ND4L",5.0377875748883e-21,-0.324090933915511,0.976,0.994,9.47204819830499e-17
"MT-CYB",2.96994576162123e-20,-0.288784002326661,0.99,0.999,5.58409202100024e-16
"ALOX5AP",4.15413335506339e-20,-1.1707342753616,0.182,0.384,7.81060153419018e-16
"RPL35A",1.47068245024024e-19,-0.174848193792195,1,1,2.7651771429417e-15
"ID2",1.27707337419466e-18,-0.91155620153647,0.365,0.562,2.40115335816081e-14
"NINJ1",1.81426671970916e-18,1.30505196732863,0.274,0.124,3.41118428639716e-14
"MT-ND1",3.11706455381344e-17,-0.370357890935535,0.953,0.981,5.86070477408003e-13
"S100A10",4.67395151369001e-17,-0.30491822456438,0.929,0.98,8.78796363603996e-13
"TRGV5",1.27462123061069e-16,3.60055492580112,0.083,0.012,2.39654283779422e-12
"RPL39",2.90787863404124e-16,-0.164531562543864,0.997,1,5.46739340772435e-12
"TRBV7-6",5.55594361193059e-16,2.96062956496956,0.07,0.026,1.04462851791519e-11
"PTMA",6.3729203009758e-16,0.251272613639381,1,1,1.19823647498947e-11
"UBE2S",1.35114941719741e-15,0.862414556594824,0.508,0.446,2.54043113421456e-11
"AHNAK",1.39749405315046e-15,-0.651953471815585,0.669,0.807,2.62756831873349e-11
"LMNA",1.79362373356011e-15,-0.322188713127808,0.792,0.915,3.37237134383972e-11
"TAGLN2",3.30141562206764e-15,-0.232694627847129,0.971,0.986,6.20732165261157e-11
"EVL",4.99392602210118e-15,0.636910284191495,0.532,0.431,9.38957970675464e-11
"MARCKSL1",9.74096432301469e-15,0.747027170704289,0.612,0.514,1.83149611201322e-10
"RGPD2",1.09351871125302e-14,2.1941944647341,0.109,0.03,2.05603388089794e-10
"CMC1",1.46335532065181e-14,-0.571238414469639,0.589,0.733,2.75140067388953e-10
"RPL36",1.94979103720656e-14,-0.179952637879778,0.997,0.999,3.66599710815577e-10
"MT1X",3.13526186549166e-14,0.862098235990641,0.425,0.304,5.89491935949743e-10
"TRGV2",3.1895008683722e-14,1.49107264858104,0.219,0.099,5.99689953271341e-10
"ITGB1",4.79816515594866e-14,-0.868617582967263,0.338,0.515,9.02151012621467e-10
"IL32",6.50946341220958e-14,-0.440710484273506,0.698,0.841,1.22390931076365e-09
"TRGV4",1.29881104651209e-13,1.81137322068144,0.109,0.028,2.44202452965204e-09
"MT-ND3",2.3271231035184e-13,-0.288708129607027,0.943,0.976,4.37545685923529e-09
"MT1G",2.64287298674353e-13,4.55147357394152,0.044,0.002,4.96912978967518e-09
"HSPA8",3.20406861986527e-13,0.474130146696831,0.94,0.914,6.02428981907069e-09
"PASK",3.82162895640838e-13,1.87789780476819,0.122,0.04,7.18542676383903e-09
"ENSG00000235979",9.51558447480423e-13,0.967737488786014,0.192,0.208,1.78912019295269e-08
"BACH2",9.61608181699013e-13,0.324720197792213,0.602,0.475,1.80801570323048e-08
"OASL",1.19993639064539e-12,0.508996587735096,0.804,0.799,2.25612040169146e-08
"TNFAIP3",1.27924708403505e-12,0.359219973049832,0.945,0.928,2.40524036740271e-08
"SLA",1.40023656161332e-12,0.492965607236397,0.687,0.618,2.63272478314536e-08
"PRKX",1.8444962977287e-12,0.472659185044979,0.576,0.47,3.4680219389895e-08
"MT-ATP8",2.31231840191061e-12,-0.208306873908222,0.99,0.997,4.34762105927232e-08
"FUS",2.54240967879729e-12,0.459648750276661,0.752,0.699,4.78023867807466e-08
"CLIC3",3.08516107333424e-12,0.884274233646487,0.375,0.263,5.80071985008305e-08
"RPL38",5.1516161273169e-12,-0.2078018260236,0.994,0.996,9.68606864258123e-08
"CD81",5.71872320526382e-12,0.379438654388159,0.825,0.782,1.0752343370537e-07
"TRBV20-1",6.11045096474409e-12,-1.89608478291808,0.018,0.094,1.14888699039118e-07
"ENSG00000282885",7.50484960529508e-12,-1.12604719715068,0.119,0.251,1.41106182278758e-07
"HLA-DPB1",8.13802421621404e-12,0.449304894252737,0.748,0.677,1.53011131313256e-07
"C4orf3",9.88709133477381e-12,0.541868662367325,0.523,0.447,1.85897091276417e-07
"CCL4L2",1.3393783687756e-11,-0.148066902340044,0.109,0.216,2.51829920897188e-07
"RPSA2",1.45614906183761e-11,1.44873056824718,0.133,0.052,2.73785146606708e-07
"PMAIP1",1.87780484961716e-11,1.09601730409732,0.308,0.217,3.53064867825018e-07
"GZMH",1.97912629333608e-11,-0.320942430513806,0.477,0.626,3.72115325673049e-07
"TBCD",3.42003949276044e-11,0.638901897680773,0.411,0.318,6.43035825428817e-07
"TUBB",6.80621633172994e-11,0.547242895639361,0.492,0.415,1.27970479469186e-06
"GRK2",1.24785200639707e-10,0.416175002744218,0.463,0.439,2.34621134242777e-06
"PIK3R1",1.45461190640203e-10,0.357915912961958,0.87,0.817,2.73496130641709e-06
"ENSG00000291037",1.64698404740367e-10,3.6460101433311,0.041,0.004,3.09665940592838e-06
"RHOH",1.94505712070091e-10,0.439777179342868,0.756,0.687,3.65709639834185e-06
"MT-CO2",2.22039769136338e-10,-0.138170269720231,0.995,1,4.17479173930143e-06
"CDC42",2.58390231496873e-10,0.324315570078779,0.828,0.775,4.85825313260421e-06
"TRAV24",3.70296949193629e-10,-3.03439845223582,0.006,0.059,6.96232323873862e-06
"NHERF1",3.70879597649448e-10,0.492765841943792,0.583,0.496,6.97327819500492e-06
"RPS15",3.92458664720272e-10,-0.131791682209776,1,1,7.37900781407055e-06
"TPT1",4.32468932307429e-10,0.144696359952175,1,1,8.13128086524428e-06
"IFITM1",4.36806042485808e-10,-0.33141615171319,0.784,0.883,8.21282721081817e-06
"GNAS",4.81291025371428e-10,0.26215562480423,0.982,0.962,9.04923385903359e-06
"RORB",5.11677013945091e-10,4.54717333713677,0.031,0.001,9.6205512161956e-06
"CD2",5.86436999368326e-10,-0.352399250604447,0.713,0.833,1.10261884621233e-05
"MT1F",5.86886309261102e-10,0.913850950931883,0.25,0.156,1.10346363867272e-05
"TRAV1-1",1.02182665188736e-09,-4.17602644030051,0.006,0.05,1.92123847087862e-05
"PPIA",1.21267531270795e-09,0.231421604158201,0.985,0.98,2.28007212295349e-05
"UBB",1.22676882357593e-09,0.28446184182029,0.977,0.975,2.30657074208745e-05
"MT1E",1.86578304432834e-09,0.81164854105264,0.315,0.217,3.50804527994614e-05
"SFPQ",2.07824169483573e-09,0.349894441236198,0.813,0.788,3.90751003463014e-05
"SYNGR1",2.35174574703350e-09,-3.09619214648811,0.003,0.046,4.42175235357238e-05
"PGAM1",2.71896665270041e-09,0.328417196516744,0.8,0.78,5.11220110040732e-05
"HNRNPC",2.83291740897731e-09,0.305616931821176,0.849,0.814,5.32645131235914e-05
"S100A4",2.86350324221817e-09,-0.349090197648021,0.542,0.686,5.3839587960186e-05
"SGCD",3.20086189956654e-09,1.97384329853069,0.078,0.023,6.01826054356501e-05
"CD8A",4.99591365495e-09,0.261716658502308,0.961,0.964,9.39331685403699e-05
"ENSG00000291032",6.58575988798737e-09,-5.23296451996515,0,0.033,0.000123825457413939
"AKAP13",6.78763735892308e-09,-0.351050306604643,0.82,0.9,0.000127621157622472
"ANXA1",7.49576382039856e-09,-0.247893793451395,0.839,0.901,0.000140935351351134
"TMEM50A",1.19298228965338e-08,-0.384635138528816,0.706,0.808,0.000224304530100629
"RPLP1",1.44939642828873e-08,0.142406604098701,0.998,1,0.000272515516446847
"NOTCH2NLR",1.7815506542557e-08,3.37905838006286,0.034,0.004,0.000334967154013156
"CD300A",1.96765674196731e-08,0.989712129986868,0.179,0.091,0.000369958820624694
"SMAD1",2.06485039261286e-08,-3.51781805730645,0.003,0.046,0.00038823317081907
"MZT2B",2.20102414547816e-08,0.333313547815549,0.714,0.636,0.000413836559832804
"TRABD",2.38916463186642e-08,0.386280939500906,0.515,0.463,0.000449210734083524
"GLS",2.49162226388214e-08,0.362495142933772,0.675,0.648,0.00046847481805512
"CD101",2.78551825237147e-08,-5.3257844429654,0,0.029,0.000523733141810884
"RPS3A",3.05144286240137e-08,0.12911313358001,0.998,1,0.000573732286988706
"BRD7",3.16110276381991e-08,-0.565052822974148,0.364,0.518,0.00059435054165342
"ATP5IF1",3.47338654116447e-08,0.542057207983263,0.391,0.322,0.000653066137469745
"TRBV11-2",3.58276248910426e-08,2.64074646513581,0.044,0.008,0.000673631003201384
"LINC02446",3.71886945739419e-08,-0.637039056850171,0.211,0.332,0.000699221835379256
"RMND5A",3.75799565008447e-08,0.589706889504854,0.359,0.27,0.000706578342128882
"REEP4",3.81417151856484e-08,-1.33047374694496,0.06,0.145,0.000717140528920561
"TRPM2",4.38144474830663e-08,-5.0967848210146,0,0.029,0.000823799241576612
"LYAR",5.14530621508103e-08,-0.441559006651049,0.453,0.597,0.000967420474559535
"EIF4A1",5.31421715480967e-08,0.288353182154731,0.914,0.903,0.000999179109447314
"H4C3",5.75629337653311e-08,-0.376145728338158,0.714,0.796,0.00108229828065576
"AIM2",6.31754468482916e-08,0.808828377351363,0.231,0.158,0.00118782475164158
"STK4",6.33478933099315e-08,-0.294818759032393,0.817,0.877,0.00119106709001333
"TOB1",6.70827057319042e-08,-0.877695925510516,0.166,0.277,0.00126128903317126
"IER5L",6.72855163909879e-08,-0.607138832227696,0.25,0.365,0.00126510227918336
"SH2D2A",6.99275352286241e-08,0.335804933960133,0.815,0.787,0.00131477751736859
"DELEC1",7.75408999317972e-08,-1.47410983750626,0.032,0.101,0.00145792400051765
"SH3TC1",8.01231759742034e-08,-1.54309271081773,0.049,0.126,0.00150647595466697
"ATP5PD",8.35826395681048e-08,0.431859979790267,0.487,0.431,0.00157152078915951
"TUBA1A",8.95376714949385e-08,0.467660518463038,0.612,0.551,0.00168348729944783
"DDX11",9.25216481025481e-08,2.23417358120243,0.041,0.012,0.00173959202762411
"GPR132",9.73358294355218e-08,0.514758825109519,0.49,0.408,0.00183010826504668
"DDX24",9.94306493408739e-08,0.332812452796808,0.839,0.814,0.00186949506890711
"ISG15",1.06585432627443e-07,1.02398557244924,0.346,0.3,0.00200401930426119
"SAMD3",1.2450723233877e-07,-0.410748586888246,0.526,0.661,0.00234098498243355
"RHD",1.30592278988745e-07,-2.12226703148853,0.015,0.068,0.00245539602954638
"MT2A",1.31132661976104e-07,0.467278625063742,0.695,0.639,0.0024655563104747
"ATP5F1E",1.5059235057093e-07,-0.204684520436876,0.948,0.974,0.00283143737543462
"H2AZ1",1.62619720032011e-07,0.468095320898575,0.666,0.637,0.00305757597604188
"CNBP",1.76291416685667e-07,0.272345159986409,0.883,0.871,0.00331463121652392
"PPP1CA",1.76315730788897e-07,0.15287855424006,0.545,0.59,0.00331508837029284
"KCNAB2",1.84251833156957e-07,-0.695025215447362,0.232,0.355,0.0034643029670171
"TMCC3",1.86337112838661e-07,1.94679173825234,0.06,0.017,0.00350351039559251
"TRBV5-5",1.96501259022455e-07,-2.07414555679532,0.01,0.052,0.0036946166721402
"ENSG00000291149",1.98213546776783e-07,0.967416017529577,0.18,0.112,0.00372681110649707
"XCL1",2.39448523990992e-07,2.19496500903913,0.13,0.101,0.00450211114807863
"LINC02506",2.4006323866923e-07,6.18591343134559,0.015,0,0.00451366901345886
"PARD6G",2.54652088200116e-07,-0.764132641265328,0.166,0.281,0.00478796856233857
"S100A6",2.78326173737689e-07,-0.354555712203113,0.784,0.849,0.00523308871861602
"CSTB",3.21171152676422e-07,0.338627921300716,0.545,0.531,0.00603866001262209
"RPL36AL",3.30858496027698e-07,-0.16454025332768,0.977,0.981,0.00622080144231279
"PLAAT4",3.4895614848392e-07,0.2829278761493,0.726,0.739,0.00656107350379466
"IFITM3",3.59532011023397e-07,-2.24975943452105,0.013,0.061,0.00675992087126192
"VIM",4.54927638382542e-07,-0.218607066103201,0.981,0.991,0.00855354945686855
"HLA-DQA1",4.58521788670486e-07,0.730349934673823,0.304,0.231,0.00862112667058249
"TPI1",4.63045377760149e-07,0.327772284318524,0.779,0.749,0.00870617919264633
"RPL13",5.07407928053389e-07,0.113738360495078,1,1,0.00954028386325983
"C1QBP",5.08066530119153e-07,0.474396954194375,0.42,0.355,0.00955266689930032
"CSF1",5.09276733441251e-07,-0.53105532767986,0.026,0.073,0.00957542114216241
"ATP2B4",5.10759593772834e-07,-0.325990537459164,0.502,0.636,0.00960330188211683
"RPL27A",5.13826520857821e-07,0.185097041433287,0.989,0.981,0.00966096624516875
