"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000235979",2.61618232635664e-45,-1.854818386836,0.269,0.927,4.91894601001576e-41
"ENSG00000289901",1.80476642399004e-35,-3.9734403115995,0.101,0.741,3.39332183038607e-31
"RPS2",5.64163982276009e-23,0.818139757206456,1,0.993,1.06074111947535e-18
"RPS14",7.95949119989051e-23,0.701380402517644,0.992,1,1.49654353540341e-18
"LAIR2",2.201377944144e-21,-3.01311581153288,0.084,0.571,4.13903081057954e-17
"GNLY",1.22834033167241e-19,1.69225147762985,0.824,0.372,2.30952549161047e-15
"RPS26",9.4060202854925e-19,-0.332096570270883,0.916,0.999,1.7685199340783e-14
"MT-CO2",4.49036244007373e-18,0.72939670333354,0.992,0.996,8.44277945982662e-14
"RPL3",1.57749344963936e-17,0.606530756730725,1,0.998,2.96600318401193e-13
"LINGO2",2.01776470734371e-16,-2.00021140142615,0.244,0.694,3.79380120274763e-12
"PRSS57",7.10711145950147e-16,-2.72347379397347,0.067,0.446,1.33627909661547e-11
"CD52",3.16292543206104e-15,1.94611726117872,0.529,0.219,5.94693239736117e-11
"MT-ND3",2.63844167729698e-14,0.872110127532254,0.958,0.913,4.96079804165378e-10
"MT-CO1",4.7286908872864e-14,0.556621400597727,1,0.999,8.89088460627588e-10
"TOX",6.39259457156118e-14,-2.25737190921645,0.269,0.667,1.20193563134493e-09
"FYN",1.49427919909669e-13,-0.805285745877002,0.924,0.981,2.8095437501416e-09
"RPS3",1.89278455285592e-13,0.517019432139589,1,1,3.5588135162797e-09
"SPOCK2",2.57722460474036e-13,3.32885252410584,0.286,0.038,4.84569770183283e-09
"CLEC2D",2.93430291112404e-13,-1.19954190800228,0.588,0.894,5.51707633349542e-09
"KIR3DL2",4.01371235809489e-11,-1.64602419993395,0.193,0.565,7.54658197569002e-07
"TPT1",4.41410254683322e-11,0.384754769353509,1,1,8.29939560855582e-07
"CCL5",6.74010565560254e-11,0.877404714348808,0.975,0.94,1.26727466536639e-06
"PRKCH",8.4716059206668e-11,-0.823020841199607,0.832,0.973,1.59283134520377e-06
"FCER1G",1.69826241844654e-10,3.72023808457741,0.151,0.009,3.19307299916319e-06
"RPL19",1.97837881249273e-10,0.480539014243548,1,1,3.71974784324883e-06
"RPL23A",6.15644914941753e-10,0.543176240174642,1,0.994,1.15753556907348e-05
"VCAM1",6.47604617406174e-10,-3.22991452452216,0.076,0.395,1.21762620164709e-05
"RPL26",6.50503500120539e-10,0.506428480987915,1,1,1.22307668092664e-05
"TXK",6.92590955694381e-10,3.57062353329454,0.176,0.021,1.30220951489658e-05
"RPS24",8.41562978976923e-10,0.544192425381498,1,0.997,1.58230671307241e-05
"MT-CYB",1.03083186563245e-09,0.618814296307492,0.992,0.991,1.93817007376213e-05
"LAT2",1.10134481175587e-09,1.94245384063667,0.353,0.127,2.07074851506338e-05
"RPL18A",1.88163478412651e-09,0.436167249801793,0.992,1,3.53784972111467e-05
"PCED1B-AS1",1.98745399708042e-09,1.39525338432158,0.546,0.301,3.73681100531061e-05
"PAM",3.15936480053882e-09,-2.33101508281778,0.16,0.494,5.94023769797309e-05
"TRGV10",3.75826816653697e-09,2.3864012496756,0.176,0.079,7.06629580672281e-05
"RPL30",3.79648938300694e-09,0.459149843393266,1,1,7.13815933792964e-05
"IKZF3",6.21224968872329e-09,-1.22640003773527,0.437,0.775,0.000116802718647375
"FXYD5",7.0996494107935e-09,0.901431166825029,0.756,0.636,0.000133487608221739
"TRGV9",7.727831147888e-09,1.44630861477242,0.109,0.141,0.00014529868124259
"CEBPD",8.91027074348725e-09,2.84479191816187,0.218,0.076,0.000167530910519047
"RPS23",1.06074611897373e-08,0.440399176182328,1,0.999,0.000199441485289441
"S100B",1.07119966324072e-08,-4.69739413566373,0.008,0.193,0.00020140696068252
"MT-ATP8",4.30924014733019e-08,0.544443291853902,0.983,0.984,0.000810223332501023
"APOBEC3G",6.05220781236672e-08,0.641410335107922,0.899,0.843,0.00113793611288119
"CLEC2B",6.32177348930431e-08,0.70669360041793,0.782,0.757,0.001188619851459
"DOCK5",6.66526518207223e-08,3.81295465256555,0.118,0.007,0.00125320315953322
"LSP1",7.21282670196742e-08,0.666598165535917,0.824,0.792,0.00135615567650391
"LGALS1",7.28706534495826e-08,0.992661735060871,0.697,0.477,0.00137011402615905
"RPL7A",7.8510888628071e-08,0.417715607440622,0.992,0.999,0.00147616172798499
"ALOX5AP",7.9863679835057e-08,2.35481923000029,0.235,0.05,0.00150159690825874
"ALOX12P2",8.87539121827682e-08,-3.99709256304981,0.017,0.217,0.00166875105686041
"CAMK2N1",8.92325500203996e-08,2.89304138091898,0.176,0.032,0.00167775040548355
"MGAT4A",9.47161466951001e-08,2.02820574868085,0.303,0.089,0.00178085299016127
"RPS4X",1.32954652624271e-07,0.404767521883301,1,0.998,0.00249981337864154
"LINC01505",1.62584639845589e-07,-4.36798484231928,0.008,0.171,0.00305691639837677
"TRBV10-3",1.77382619115305e-07,7.99339607543756,0.059,0,0.00333514800460596
"ITM2A",1.92907314574727e-07,-1.14686993007993,0.328,0.65,0.00362704332863402
"SETBP1",2.13109603465383e-07,-1.38207922511941,0.235,0.506,0.00400688676435614
"ITGB7",2.21134641593915e-07,1.37588201832136,0.361,0.184,0.00415777353124879
"RPTOR",2.31441784880212e-07,0.95059933796371,0.185,0.172,0.00435156843931774
"SEC14L1",2.43502763717764e-07,-1.34143507938874,0.378,0.65,0.0045783389634214
"IL18RAP",2.46639920735502e-07,4.10364426875248,0.101,0.008,0.0046373237896689
"ITGAX",2.77799926132152e-07,-2.40812889978288,0.05,0.267,0.00522319421113672
"RPL35",4.6542769492186e-07,0.447710900156854,0.983,0.983,0.00875097151992082
"EIF4G3",4.80607602003047e-07,-1.31138160888545,0.218,0.552,0.00903638413286129
"ARL17B",4.80910694178592e-07,-4.03781843134872,0.008,0.19,0.00904208287194588
"TRAV12-3",4.84435982331276e-07,8.69551648966254,0.059,0,0.00910836533979265
"TRIM22",4.90725685704864e-07,-1.33259751801994,0.218,0.518,0.00922662434262286
"TM4SF19",5.49279901111774e-07,4.44023690328636,0.092,0.006,0.0103275607007036
"RPS27",6.06116704166581e-07,0.35496303617605,1,1,0.0113962062717401
"ENSG00000276241",6.45171676777134e-07,-1.35480282784455,0.134,0.355,0.0121305178667637
"NUAK1",7.90213186135419e-07,-2.48761093682344,0.05,0.258,0.0148575883257182
"XAF1",9.32306900541944e-07,-1.82112244458815,0.16,0.424,0.0175292343439896
"CMC1",9.56139761746209e-07,-0.658783574306206,0.538,0.818,0.0179773398003522
"CHSY3",9.97764052128608e-07,-2.59843029000017,0.034,0.239,0.0187599597081221
"WASHC5",1.09733742514501e-06,-0.60075236469448,0.076,0.233,0.0206321382675764
