"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"RPS26",1.27889472254844e-84,-1.51491439051044,0.94,0.995,2.40457785733557e-80
"ENSG00000289901",1.04374859180878e-36,-3.24576540957177,0.141,0.566,1.96245610231887e-32
"MT-CO3",3.25715541088823e-14,-0.492098029682159,0.991,1,6.12410360355204e-10
"IFITM2",1.33264100708458e-12,-0.840926659245836,0.605,0.788,2.50563162152043e-08
"HLA-G",1.9867915943389e-11,-4.77851601589582,0.006,0.126,3.73556555567599e-07
"ANK2",7.2082350522018e-11,-2.59253500160129,0.042,0.203,1.35529235451498e-06
"MT-CO1",6.43722760245797e-10,-0.325544223156448,0.997,1,1.21032753381415e-05
"CTSW",2.13896863993015e-07,-0.438704173324756,0.68,0.835,0.00402168883679667
"IL32",2.29688840284744e-07,-0.489485349101967,0.686,0.841,0.00431860957503375
"PF4V1",2.51361651306405e-07,5.92016249444285,0.054,0,0.00472610176786302
"RCAN3",4.296954539208e-07,1.40657150132129,0.246,0.107,0.00807913392461888
"CD55",6.73033918107271e-07,0.716395118779191,0.569,0.525,0.0126543837282529
"UBC",2.18167871900997e-06,-0.262440189645045,0.991,0.992,0.0410199232748255
"MT-ND4",4.12235171829004e-06,-0.446899645602888,0.94,0.973,0.0775084570072893
"GNLY",6.32887960595462e-06,-0.754425961787422,0.47,0.629,0.118995594351159
"KLHL6",7.77205946915606e-06,1.83717550313316,0.138,0.052,0.146130262139072
"RPLP0",1.10040972715964e-05,0.288215685299386,0.997,0.981,0.206899036900555
"RPS3A",1.20154910146687e-05,0.234644700932798,1,1,0.2259152620578
"ARL17B",1.34577652216576e-05,-1.99761580113271,0.03,0.121,0.253032901697606
"KLRG1",1.45129084772791e-05,-1.07745062076807,0.171,0.297,0.272871705189802
"TREML1",1.97165792937463e-05,5.80853091890853,0.036,0,0.370711123881019
"LTB",2.38153541726499e-05,0.834349687858946,0.257,0.137,0.447776289154163
"ZNF670",2.68676435190946e-05,-1.60149598268468,0.009,0.049,0.505165433446017
"MT-ATP8",3.25570600540234e-05,-0.336569310474156,0.997,0.995,0.612137843135748
"TXNIP",3.32376754105903e-05,0.932192696267072,0.41,0.277,0.624934773069918
"ENSG00000258926",3.32944204840813e-05,-4.63913598279537,0,0.038,0.626001693941697
"RPS6",3.33495096471265e-05,0.21509273293492,1,0.997,0.627037480385273
"CCL4L2",3.73380311911586e-05,-0.329229184834041,0.123,0.242,0.702029662456163
"RPS10",3.7909524784793e-05,-0.226668307814239,0.997,0.997,0.712774885003677
"LYPD3",4.33825134924623e-05,3.31063178675447,0.063,0.014,0.815678018685276
"ENSG00000290537",4.46033246679136e-05,-0.75531921777354,0.141,0.269,0.838631710406112
"HLA-B",5.43468005084149e-05,-0.155184544491355,1,1,1
"CMC1",5.54458348662653e-05,-0.680907160778955,0.299,0.431,1
"GP9",6.42645140234635e-05,5.97215008691381,0.033,0,1
"CACUL1",6.44582985510643e-05,-0.463121298242682,0.129,0.22,1
"HCG27",6.96116922459506e-05,4.44689535869803,0.033,0,1
"TRAV3",8.35520853943754e-05,3.3104646802158,0.06,0.005,1
"ITM2A",9.08571169389799e-05,-0.644976703433881,0.398,0.558,1
"PPP1R16B",9.78335289128152e-05,-0.264790416833768,0.578,0.731,1
"TRBV5-5",0.000101154275406488,-3.73763884109428,0.003,0.049,1
"RPL27A",0.000102084742564265,0.227505711747967,0.967,0.967,1
"RPS2",0.000106929815223915,0.235432844922994,0.997,1,1
"NKG7",0.000116387721144701,-0.240463446584478,0.79,0.885,1
"RPL18A",0.0001261283583719,0.201149506317369,1,0.995,1
"KLRD1",0.000150345448666592,-0.340475123136606,0.53,0.679,1
"ELOB",0.000151020629285853,-0.362951695935513,0.557,0.712,1
"RPS24",0.000154048632057895,0.176233912880455,0.997,0.995,1
"KIR3DL2",0.000172316079458442,-1.45859135337801,0.054,0.146,1
"ENSG00000255745",0.000187080475623696,4.46628427625099,0.03,0,1
