"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SNX9",2.16204702086636e-21,-1.99287377043631,0.046,0.168,4.06508080863293e-17
"TRBV7-2",6.60089775324618e-21,3.34270916098085,0.208,0.032,1.24110079556535e-16
"GZMK",3.68756815557842e-18,-0.917819048864677,0.364,0.559,6.93336564611855e-14
"CCR7",3.44859799380931e-16,-1.06023159906762,0.346,0.527,6.48405394796027e-12
"NKG7",4.57847555129115e-16,0.324644329952723,0.996,0.99,8.60844973153761e-12
"CD28",2.15621875148677e-14,-1.3300240230871,0.092,0.214,4.05412249654542e-10
"GNLY",6.78774284848072e-14,0.652777857115886,0.501,0.311,1.27623141037135e-09
"BICDL1",6.03445703112988e-12,-0.537773093358402,0.495,0.665,1.13459861099304e-07
"CLDND1",8.54363783808918e-11,-0.596849002309408,0.562,0.691,1.60637478631753e-06
"CD27",2.86200444452455e-10,-1.09708001480251,0.12,0.232,5.38114075659507e-06
"BHLHE40",4.29407782554279e-09,0.599367993185319,0.548,0.427,8.07372512758555e-05
"SQSTM1",4.39417614731948e-09,-0.580490652387186,0.685,0.786,8.26192999219008e-05
"GZMH",1.08625466336755e-08,0.434444752082248,0.631,0.491,0.000204237601806367
"MT-CO1",1.3701414777158e-08,0.182378233094662,0.999,1,0.000257614000640125
"KLRD1",1.75682695821278e-08,0.361597677439662,0.634,0.481,0.000330318604683167
"EZR",3.41241140519689e-08,-0.27135397527692,0.98,0.992,0.000641601592405119
"ID2",3.65921586030193e-08,0.60129425818455,0.548,0.431,0.000688005766053969
"ABHD17A",3.87376130632295e-08,0.28353559276036,0.905,0.862,0.000728344600814842
"SLAMF1",3.90503586834701e-08,-1.06114712142058,0.066,0.142,0.000734224843966604
"LRIG1",4.43937179693735e-08,-0.798907322600309,0.128,0.23,0.00083469068526016
"TNFRSF9",6.79432591713243e-08,-0.737059844851872,0.21,0.325,0.00127746915893924
"RPLP1",7.9953567824313e-08,-0.127917865061305,1,1,0.00150328698223273
"SRGN",9.18763693905064e-08,-0.190939726471876,0.999,1,0.0017274594972803
"SARAF",1.27142927020174e-07,-0.181040814712639,0.991,0.994,0.0023905413138333
"TRGV9",2.0024551251419e-07,1.15434241395257,0.151,0.062,0.0037650161262918
"MALAT1",2.5593393392272e-07,0.135216795348827,1,1,0.00481206982561499
"GZMB",2.82999972459558e-07,0.673090654077259,0.504,0.391,0.00532096548218461
"LEPROTL1",2.95399119675936e-07,-0.290277506588453,0.831,0.894,0.00555409424814696
"ATP1B3",3.06961870853789e-07,-0.461565368799286,0.804,0.862,0.00577149709579293
"SUN2",3.18511770109798e-07,0.403987478051857,0.672,0.583,0.00598865830160442
"TBC1D4",3.39791080521533e-07,-0.962196605194383,0.058,0.124,0.00638875189596587
"ISG20",3.57861890365582e-07,-0.445859868910325,0.653,0.731,0.00672851926265366
"IFITM2",4.96634401385242e-07,0.404582569997115,0.793,0.719,0.00933772001484532
"GAPDH",5.94336578171348e-07,-0.195773610101568,0.997,1,0.0111747163427777
"DNPH1",7.88303006692604e-07,-0.702238092013184,0.104,0.19,0.0148216731318343
"LDLRAD4",8.58124400236878e-07,-1.00347244063835,0.152,0.242,0.0161344549732538
"TXNIP",1.40961302716461e-06,0.923912649760846,0.32,0.22,0.0265035441367489
"GPR183",1.44432354335926e-06,-0.54963408005091,0.491,0.587,0.0271561712622408
"ENSG00000289901",1.80629112803659e-06,0.389177374980711,0.507,0.397,0.0339618857893439
"ATXN1",2.09640463837631e-06,-0.325432348916975,0.654,0.741,0.0394166000107514
"LTB",2.24279795740402e-06,-1.04280923848715,0.07,0.136,0.0421690871951104
"FAM107B",2.64698940069587e-06,-0.397728454138989,0.665,0.76,0.0497686947118838
"MT-CO3",3.40489431775212e-06,0.172519314834355,1,0.996,0.0640188229623754
"ZEB2",3.62804079708259e-06,0.19909151799114,0.945,0.926,0.0682144230667469
"RPS26",3.82189382737368e-06,0.202536431087658,0.984,0.988,0.07185924774228
"PRF1",5.31525236614984e-06,0.315324836860931,0.604,0.493,0.0999373749883494
"CTSW",5.69169997340487e-06,0.236576375894651,0.865,0.82,0.107015342899958
"NOP58",5.96476205982104e-06,-0.353817886900093,0.491,0.611,0.112149456248755
"THEMIS",9.02430434261673e-06,0.270894141071308,0.672,0.551,0.16967497024988
"SH3BGRL3",1.09617600167857e-05,0.164947985901664,0.991,0.984,0.206103011835605
"KCNAB2",1.15520231740415e-05,0.640058166666581,0.353,0.263,0.217201139718328
"RGS1",1.31377876098576e-05,-0.701923871219883,0.267,0.363,0.247016682640543
"PMAIP1",1.61198901437951e-05,-0.504642648818841,0.212,0.309,0.303086174483636
"RASA3",1.65548793782506e-05,0.449937256430277,0.525,0.437,0.311264842069868
"PIM3",1.85196484481592e-05,-0.366787363407742,0.453,0.565,0.34820643012229
"IFNAR2",1.91250519814357e-05,-0.40990518870681,0.333,0.447,0.359589227354954
"ZNF80",1.99117865651092e-05,-0.586776777780893,0.071,0.132,0.374381410997183
"NMB",2.47426042712974e-05,-0.945247076071572,0.057,0.11,0.465210445508934
"SAMSN1",2.55374050695774e-05,-0.293978195512998,0.628,0.727,0.480154290118195
"S1PR5",2.83696570225305e-05,0.57085468492191,0.347,0.261,0.533406291337619
"CMSS1",3.18616825222119e-05,-0.594634107524911,0.39,0.493,0.599063354782628
"ISG15",3.24092623540336e-05,-0.844293545469925,0.287,0.371,0.60935895078054
"CTSC",3.50491332203486e-05,0.396437721420186,0.517,0.433,0.658993802808994
"GRAP2",3.55258049677332e-05,0.390636196102553,0.545,0.489,0.66795618500332
"SLC25A3",3.59043885505482e-05,-0.20855629331902,0.809,0.86,0.675074313527406
"PDCD1",3.69634246017748e-05,-0.374113995179009,0.128,0.208,0.69498630936257
"PABPC1",4.07210067512482e-05,-0.199324062886484,0.977,0.978,0.765636368936968
"CCL4L2",0.00673827446285573,1.36149321396177,0.199,0.15,1
"ENSG00000235979",0.000642146558059793,-1.3402316930493,0.196,0.255,1
"KLRC2",0.000214023211502077,-1.23320826604851,0.06,0.106,1
"TMEM156",6.35682929519026e-05,-1.13944974360016,0.056,0.106,1
"ENSG00000276241",0.00017531570615883,1.07451671122338,0.112,0.056,1
"XCL1",0.307626053451858,-1.0204049517691,0.103,0.116,1
"CEBPD",0.000560616005387594,-0.889342390319157,0.063,0.108,1
"SORL1",0.000872692787004525,0.859912745749922,0.154,0.1,1
"RABEP2",0.00150935927226337,0.831049930761417,0.132,0.082,1
"RNF44",0.0070130682659941,0.828127416348095,0.129,0.088,1
"ELMOD3",0.000427420941415938,-0.817222339109638,0.058,0.102,1
"ATG4A",0.000367499286503432,-0.794418777126336,0.069,0.118,1
"ADRB2",0.000912878704872357,0.787234980628106,0.141,0.086,1
"PTCD3",0.000423905463533872,0.768420229638569,0.181,0.12,1
"ENSG00000227227",0.000161853589191501,-0.744176607712258,0.074,0.128,1
"ZNF787",0.0260837314013258,0.729967941714525,0.101,0.07,1
"MGA",0.00452791401916474,0.72561644399532,0.152,0.104,1
"ZBTB32",0.000163681835261102,-0.720620447445107,0.066,0.118,1
"GADD45A",0.00111175391635473,-0.715304305561692,0.136,0.194,1
"PTPN12",0.0050479995131741,0.707410683122695,0.128,0.084,1
"SNHG17",0.00122900738309249,0.703626431035605,0.198,0.142,1
"FGFBP2",0.000294628380774705,0.701652069672546,0.41,0.335,1
"FXR2",0.0204914033559904,0.688228589850505,0.11,0.076,1
"MTSS1",0.001205312430946,0.679094979114253,0.134,0.08,1
"HEATR5A",0.00289529475959509,-0.670334672538847,0.063,0.102,1
"KLHL6",0.000150047112714199,-0.670142467155701,0.057,0.106,1
"COMT",0.0165723451872915,0.669901045049755,0.122,0.086,1
"PLCB1",0.0122574200236227,0.664176412222869,0.136,0.096,1
"LY9",0.00428942799039805,-0.6572593968053,0.088,0.13,1
"DYNLT3",0.000170306873027084,-0.656147876920998,0.147,0.216,1
"CPEB4",0.0162715872901668,0.65513908062249,0.107,0.072,1
"CXCR6",0.00288739583188981,-0.654098601567954,0.107,0.154,1
"ATP6V0E2",0.00341347076969131,-0.647488625538593,0.062,0.1,1
"B3GNT5",0.00177419632932912,-0.647357035047249,0.061,0.102,1
"ADGRG1",0.0125031440476523,0.644892957238938,0.119,0.08,1
"THOC3",0.00549195586006014,0.643973197256699,0.166,0.12,1
"TCHP",0.0319091487619584,0.637650984867355,0.105,0.074,1
"NFATC1",0.00044452727817916,-0.636531819495439,0.102,0.16,1
"PGM2",0.0187424711764064,0.635947768183469,0.108,0.074,1
"PHLDA1",0.000356623874654277,-0.634835650035189,0.098,0.156,1
"PDCL",0.0189435122937158,0.634303171222048,0.11,0.076,1
"ICOS",0.00468626768619038,-0.629399691003555,0.179,0.232,1
"HLA-DQA1",0.000216650715075763,-0.622405021939876,0.236,0.315,1
"COX19",0.040977112741046,0.619414983907075,0.159,0.13,1
"NBL1",7.46605428396691e-05,-0.61655283836053,0.158,0.234,1
"NUP88",0.0280421667042151,0.616530934594861,0.134,0.1,1
"PDGFD",0.000332123420691448,0.61449399126967,0.135,0.076,1
"LRRC40",0.0213587971145483,0.612321054462333,0.128,0.092,1
"TSPAN2",0.00313375674974518,-0.611931170603844,0.134,0.186,1
"TMEM65",0.0488384069022959,0.610721475063353,0.108,0.08,1
"PPM1L",0.0232295183913298,0.610466060734227,0.124,0.09,1
"HOXB2",0.0616528858232837,-0.609422062057105,0.075,0.1,1
"FLOT1",0.028919034513371,0.60884161409224,0.174,0.138,1
"NDFIP2",0.00320801741487116,-0.60127875766826,0.093,0.14,1
"DIAPH2",0.0435356111982809,0.600101747368098,0.16,0.13,1
"SLX9",0.00134201657567745,-0.598534958984848,0.087,0.136,1
"TANGO2",0.00386984611737236,-0.593702019975554,0.063,0.102,1
"GIMAP2",0.0201738299294103,0.593430173043819,0.122,0.086,1
"TRERF1",0.000972847709991337,-0.591024915266543,0.066,0.11,1
"LSM14B",0.0079679220661101,0.590280539680186,0.182,0.138,1
"ABAT",0.00328807416467124,-0.589035507054036,0.073,0.114,1
"ITFG2",0.0213328473401133,0.588960522633917,0.151,0.116,1
"TGFBR1",0.141018036487739,0.587704691385201,0.109,0.09,1
"COQ10A",0.00777457877167709,0.586990775696236,0.145,0.1,1
"LRCH1",0.0361517451646809,0.585903204364713,0.196,0.164,1
"RASSF1",0.0550511708246956,0.581463938813361,0.144,0.116,1
"SERTAD3",0.00516348511687509,-0.58079220529612,0.069,0.108,1
"IL6ST",0.000293857057374584,-0.577846975554563,0.096,0.154,1
"SNX20",0.0167185835722321,0.576236783245784,0.178,0.14,1
"CYRIA",0.00299010420669302,0.574540631147069,0.155,0.104,1
"DAPK2",0.00245247645652298,0.571489311985491,0.247,0.19,1
"NAB1",0.00381179141642567,-0.570504954670393,0.118,0.168,1
"ERO1A",0.000447323254059686,-0.570230231910856,0.12,0.182,1
"NCALD",0.0387975826633649,0.568100721083869,0.134,0.1,1
"SESN3",0.525571641557639,-0.565983037494918,0.105,0.096,1
"ABCF3",0.00766776331711269,0.565617763647449,0.19,0.144,1
"ATF6",0.00347307906977979,0.563778006863738,0.222,0.172,1
"XYLT1",0.0242191746489007,0.561888238237051,0.153,0.118,1
"NUP93",0.147210058432698,0.559892488405455,0.108,0.09,1
"PAGR1",0.00561427576590536,0.558657473532043,0.211,0.164,1
"ENSG00000291156",0.00185871326772737,-0.558070887032076,0.085,0.132,1
"JAKMIP2",0.00493112478473338,0.557598187275923,0.144,0.096,1
"CREBL2",0.0386519545198216,0.557341716874199,0.154,0.122,1
"ZC3H12D",0.00100418539914563,-0.556551949237126,0.142,0.202,1
"FRMD8",0.00088306063204276,-0.554969218800897,0.096,0.15,1
"NFKBIZ",0.0074337212824643,-0.554538993798216,0.164,0.216,1
"GOLGA8A",0.0717792302691543,0.551805737439386,0.126,0.1,1
"SETBP1",0.0069753303389651,0.551611547641802,0.168,0.12,1
"RNF20",0.0631922503974674,0.551528674073444,0.108,0.082,1
"GIT1",0.0762731260590426,0.551304678575156,0.123,0.098,1
"NUP42",0.0388981661813696,0.549959401316942,0.136,0.104,1
"RANBP6",0.123178650409834,0.549270678170124,0.116,0.096,1
"CCND3",0.0238804786629147,0.548615079919859,0.205,0.166,1
"AVEN",0.15774623337232,0.5479731970964,0.115,0.096,1
"SMDT1",0.00011676842815583,-0.542007214499832,0.193,0.277,1
"PELI1",0.000348054308097887,-0.541718241927709,0.163,0.234,1
"DCAF1",0.0800727894410627,0.541612857194741,0.112,0.088,1
"TTC39B",0.00613091820804809,-0.54125818433315,0.074,0.112,1
"DKC1",0.00753930261503292,0.538489272273559,0.182,0.138,1
"DAPK3",0.10993800145817,0.537916948469977,0.114,0.092,1
"SCFD2",0.08956917309836,0.537619340600744,0.11,0.086,1
"MBIP",0.000377415752449274,-0.53732045553919,0.082,0.136,1
"ZC3H3",0.147691564719542,0.535695401239495,0.105,0.086,1
"MIR23AHG",0.00173381251546889,-0.535338280651106,0.181,0.242,1
"CD160",0.100798185953549,0.535165258409119,0.105,0.082,1
"PPP2R2B",0.0229249955365372,0.534075583862712,0.191,0.15,1
"FAS",5.65726867488458e-05,-0.533564903292386,0.282,0.379,1
"HEG1",0.131852308759566,0.53185714759791,0.123,0.102,1
"GALNT7",0.0438027750329513,0.531721724908743,0.138,0.106,1
"REEP4",0.00388876842678446,0.529166719706777,0.141,0.092,1
"EXOSC7",0.150103577385787,0.526621981346358,0.122,0.102,1
"RGS14",0.0142795688948404,0.52093939908938,0.129,0.09,1
