"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TRBV4-2",1.06133129889984e-17,9.78282836269112,0.821,0,1.99551510819148e-13
"RPS26",4.98367853128683e-14,-2.9965589918809,0.964,1,9.3703123745255e-10
"MT-CO1",7.11505977135421e-14,-1.56276538682101,0.964,1,1.33777353821002e-09
"TRAV8-4",1.00627677506581e-12,7.85892549997203,0.607,0,1.89200159247874e-08
"KLRC4",2.90073747840126e-09,3.17165859952283,0.643,0.07,5.45396660689005e-05
"GNLY",1.30412108761454e-07,-4.6191755062075,0.071,0.69,0.00245200846893286
"HLA-C",2.87245179156979e-07,0.834138270233146,1,1,0.00540078385850952
"TRAV13-1",3.89109849767839e-07,-7.092058524748,0,0.592,0.00731604339533491
"TRBV12-3",6.20001804500207e-07,-7.90667086318988,0,0.577,0.0116572739282129
"HLA-G",9.79372451486737e-07,-5.33627893188742,0,0.563,0.0184141608328536
"YIPF5",2.16693968318646e-06,2.4613249461858,0.643,0.211,0.0407427999232719
"CRIP1",3.71674522754338e-06,-1.04335638061922,1,1,0.0698822437682707
"ATP1B3",5.04418036733208e-06,-1.76637663690886,0.536,0.887,0.0948406792665778
"BEX4",5.18925933755245e-06,3.57147487231184,0.357,0.028,0.0975684540646612
"CMC1",6.32815422677763e-06,-1.5176679073372,0.393,0.901,0.118981955771873
"TRGV9",7.13638386391078e-06,3.54715127502618,0.5,0.113,0.13417828940925
"DDX56",7.19014147668693e-06,2.62577618119078,0.464,0.07,0.135189040044668
"RPS12",1.0759731187627e-05,0.414308289477271,1,1,0.202304465789764
"TRAV26-1",1.45275637088553e-05,5.43622753903015,0.25,0,0.273147252853897
"PCED1B-AS1",5.03220099101768e-05,1.2072427439917,0.893,0.662,0.946154430331145
"TRBV4-1",0.00073710781743571,-7.45684706353481,0,0.324,1
"TRAV5",0.00268812894062915,-5.59464430513088,0,0.268,1
"XCL1",0.0288300927281912,-5.00480136804666,0,0.155,1
"TRBV11-3",0.0121794669946099,-4.87080973640494,0,0.197,1
"ZNF680",0.00127106306598475,4.8106918067768,0.143,0,1
"TRGV2",0.00366846586188834,-4.75054100629696,0,0.254,1
"ADO",0.000290227723766991,4.74210426213713,0.179,0,1
"EMSY-DT",0.00127106306598475,4.65095563815344,0.143,0,1
"XRCC4",0.00555054303821041,4.63876468492347,0.107,0,1
"ENSG00000289359",0.00555054303821041,4.62459501030644,0.107,0,1
