"","0","1","2","3","4","5","6","7","8","9"
"CD19",24.87,35.46,43.47,40.38,30.11,58.16,20.9,33.48,35.75,23.29
"MS4A1",84.79,90.33,94.53,92.37,91.38,96.77,77.46,92.95,97.41,86.3
"CD79A",97.45,99.85,98.44,100,96.82,99.68,85.25,99.12,100,95.89
"CD79B",25,47.95,43.63,48.61,44.83,26.66,29.51,30.4,42.49,36.99
"CD74",100,100,100,100,99.73,100,99.18,100,100,100
"PAX5",31.5,23.9,29.63,19.5,37.8,29.24,26.64,25.55,47.15,42.47
"EBF1",70.64,64.92,76.62,60.05,72.81,86.11,62.3,68.28,85.49,73.97
"IGHD",42.9,61.49,22.67,46.1,53.85,29.24,37.7,40.09,63.73,50.68
"TCL1A",25.07,26.56,4.69,12.22,35.54,2.42,14.75,22.03,47.67,23.29
"FCER2",51.94,61.95,22.52,31.02,40.72,3.39,33.2,44.93,67.36,36.99
"IL4R",37.67,42.24,32.45,26.17,40.72,26.33,41.39,38.77,51.3,52.05
"CD72",18.63,11.64,19.47,16.38,21.62,54.12,12.7,19.38,34.2,26.03
"CD24",16.15,11.57,20.33,8.93,14.59,1.94,11.89,12.78,27.46,6.85
"CD38",5.97,11.26,1.88,2.69,14.46,0.32,5.33,6.17,16.58,5.48
"MME",0.6,0,0.55,0.78,0.93,0.16,0.41,0,2.07,0
"CD27",0.74,0.76,27.52,12.31,1.59,4.36,6.56,2.2,2.07,4.11
"CD80",2.14,1.52,32.99,8.41,2.92,21.81,5.74,4.41,1.04,13.7
"CD86",7.24,5.4,21.11,5.11,7.29,51.86,9.02,4.41,6.74,19.18
"TNFRSF13B",6.77,7.84,71.62,28.77,9.95,46.85,18.85,15.86,13.99,26.03
"CD83",99.46,99.47,95.78,97.14,96.15,91.76,87.3,99.12,100,98.63
"NR4A1",54.02,35.92,51.92,26.6,44.96,64.46,46.31,39.21,72.02,64.38
"EGR1",13.81,2.82,19.16,3.9,6.63,10.82,11.07,6.61,6.22,35.62
"MYC",31.9,27.7,44.88,26.26,30.24,23.75,32.38,29.07,45.08,34.25
"BCL6",27.82,31.2,19.94,20.45,32.76,25.2,30.74,25.11,48.7,41.1
"AICDA",0,0,0,0.52,0,2.1,0.41,0,0,1.37
"RGS13",0.67,0.84,2.81,0.52,1.19,6.46,0.82,0.44,2.07,1.37
"MEF2B",0.8,1.22,2.27,1.73,2.12,2.1,1.23,0.88,2.07,5.48
"MKI67",0,0.08,0.23,0,0,0,0.41,0,0,0
"TOP2A",2.48,1.45,2.03,1.21,2.25,1.29,2.87,1.32,3.63,5.48
"TBX21",2.48,0.91,8.84,3.21,1.46,14.05,6.56,3.08,1.55,4.11
"ITGAX",0.67,0.23,19.31,7.97,3.45,70.27,6.56,4.41,1.55,16.44
"FCRL4",0.07,0,2.5,1.91,0.27,0.65,0.41,0.44,0,0
"FCRL5",11.46,8.52,15.95,6.15,14.72,33.6,10.66,7.49,26.42,10.96
"ZEB2",58.58,68.49,74.67,71.4,68.97,95.8,71.31,69.16,88.08,76.71
"FGR",15.28,29.53,33.46,33.28,21.22,76.74,23.77,22.47,31.09,45.21
"CD1C",1.01,1.67,4.93,3.9,2.79,2.1,2.46,3.52,2.59,2.74
"CR2",4.89,4.11,5,2.51,4.11,0.16,3.28,4.85,5.7,4.11
"IRF4",56.84,40.56,62.31,39.69,49.47,42.33,49.59,48.9,69.95,49.32
"IRF8",53.55,56.54,56.14,42.81,53.85,60.58,44.67,51.98,67.88,64.38
"SPIB",51.14,56.7,70.68,57.02,49.73,51.37,49.18,59.91,63.73,52.05
"POU2AF1",29.42,32.27,57.15,43.24,31.7,24.39,29.51,29.52,41.45,45.21
"PRDM1",0.67,0.46,2.81,0.78,1.06,2.91,5.74,0.44,2.07,2.74
"XBP1",28.28,37.75,41.36,34.14,28.78,44.1,34.43,27.75,53.37,36.99
"MZB1",8.04,4.64,11.1,6.24,12.86,3.23,5.74,6.17,12.44,10.96
"JCHAIN",18.7,30.67,26.27,13.69,19.5,0.97,18.85,23.35,40.41,23.29
"SLAMF7",15.08,7.53,34.09,14.38,10.74,37.64,18.03,9.69,27.98,26.03
"DERL3",4.22,3.2,5.71,6.76,5.57,1.78,3.28,5.29,4.15,9.59
"TNFRSF17",0,0,0.23,0,0.13,0,0.41,0,0,0
"IGHM",58.71,80.97,47.77,60.83,71.35,35.86,56.97,66.08,79.27,71.23
"IGHG1",1.47,1.14,24.86,17.42,3.05,38.93,6.15,6.61,1.04,12.33
"IGHA1",10.32,11.57,47.54,24.26,13.93,40.23,15.16,16.3,20.21,23.29
