"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","direction"
6.60469381025964e-09,-5.11689275487675,0,0.015,0.000124181453020502,"Memory B","SMAD6","down"
6.06838444682492e-11,-5.01070778816965,0.001,0.024,1.14097764369202e-06,"Memory B","ENSG00000257275","down"
1.51764027674199e-23,-4.30361453022914,0.006,0.058,2.8534672483303e-19,"Memory B","ENSG00000267568","down"
1.57541637030243e-13,-3.96876782732223,0.005,0.035,2.96209785944263e-09,"Memory B","TCL6","down"
1.35004769189413e-06,-3.91947637252425,0.007,0.02,0.0253835967029934,"Memory B","IGHV3-43","down"
1.58092910579791e-75,-3.49013934558479,0.041,0.217,2.97246290472123e-71,"Memory B","SPRY1","down"
1.0823291623456e-19,-3.40509233288793,0.014,0.069,2.03499529104221e-15,"Memory B","MMP7","down"
5.68491027873684e-09,-3.25815727831285,0.005,0.025,0.00010688768306081,"Memory B","TUNAR","down"
3.14151736751434e-21,-3.24255210407103,0.018,0.073,5.90668095440046e-17,"Memory B","MAML3","down"
1.4806689720565e-13,-3.21165976972663,0.007,0.044,2.78395380126063e-09,"Memory B","LINC01013","down"
1.72443335659515e-06,-3.17764618288171,0.005,0.025,0.0324227959707021,"Memory B","IGHV1-69","down"
5.50932372639306e-68,-3.15624665574395,0.047,0.224,1.03586304703642e-63,"Memory B","TCL1A","down"
4.98859828015001e-10,-3.14608463778844,0.006,0.028,9.37956248633805e-06,"Memory B","DIPK1B","down"
2.03139004202622e-18,-3.09560306777681,0.014,0.057,3.81941955701769e-14,"Memory B","KCNG1","down"
4.29509289654011e-07,-3.07326706119047,0.005,0.02,0.00807563366407472,"Memory B","THRB","down"
6.73568238679816e-13,-2.92357284773755,0.01,0.041,1.26644300236579e-08,"Memory B","NSUN7","down"
1.20192982594575e-10,-2.91479993385109,0.019,0.046,2.2598684587432e-06,"Memory B","IGHV1-18","down"
5.24915643009611e-21,-2.86236124699128,0.025,0.088,9.86946391986671e-17,"Memory B","ENSG00000224610","down"
2.1557184199353e-38,-2.83153968437227,0.038,0.14,4.05318177316235e-34,"Memory B","IKZF2","down"
2.58459208852204e-11,-2.80843808488961,0.01,0.037,4.85955004483914e-07,"Memory B","ZBTB16","down"
3.0399014696077e-10,-2.77512628959575,0.024,0.051,5.71562274315639e-06,"Memory B","IGHV1-69D","down"
4.81908111273232e-14,-2.75405626818227,0.02,0.059,9.06083630815931e-10,"Memory B","ADARB2","down"
1.90318870190367e-08,-2.71593427547757,0.008,0.029,0.000357837539731927,"Memory B","KLRK1-AS1","down"
1.5948583235612e-17,-2.70846487819775,0.039,0.087,2.99865261995977e-13,"Memory B","IGLL5","down"
1.24713775499456e-07,-2.68427781108038,0.006,0.023,0.00234486840694076,"Memory B","ENSG00000288788","down"
1.96347917840442e-19,-2.66758969270941,0.019,0.074,3.69173355123599e-15,"Memory B","CD38","down"
1.216881704325e-07,-2.6092038155952,0.007,0.024,0.00228798098047187,"Memory B","TBXA2R","down"
3.73260508420273e-09,-2.58096559185275,0.008,0.031,7.01804407931798e-05,"Memory B","SYN3","down"
1.43573282416337e-08,-2.55774190913275,0.012,0.038,0.000269946485599197,"Memory B","IL7R","down"
2.58588408763603e-06,-2.49695025322176,0.005,0.014,0.0486197926157326,"Memory B","UACA","down"
2.50249063487025e-07,-2.38925138504782,0.009,0.029,0.00470518289168304,"Memory B","ENSG00000288531","down"
3.31397648359196e-56,-2.38553250087535,0.081,0.221,6.23093858444961e-52,"Memory B","SATB1","down"
4.3004532139289e-37,-2.37319481550476,0.055,0.155,8.08571213282912e-33,"Memory B","CRIM1","down"
9.0459786731412e-08,-2.36354827009836,0.01,0.032,0.00170082491012401,"Memory B","ENSG00000263551","down"
1.83896857812499e-06,-2.36105031204043,0.009,0.024,0.0345762872059061,"Memory B","ZNF704","down"
4.80739107420548e-17,-2.32368543319622,0.022,0.06,9.03885669772113e-13,"Memory B","APBB2","down"
6.16334604871544e-08,-2.30785793401004,0.009,0.026,0.00115883232407948,"Memory B","MMP17","down"
2.38530975559764e-21,-2.30447712264735,0.041,0.094,4.48485940247468e-17,"Memory B","CD9","down"
3.09557715964986e-07,-2.26626466927382,0.009,0.02,0.00582030417557366,"Memory B","ITGA5","down"
2.84544320146688e-09,-2.25474390883337,0.009,0.022,5.35000230739802e-05,"Memory B","FHL3","down"
7.03152284476132e-25,-2.24775131747549,0.037,0.101,1.32206692527202e-20,"Memory B","SATB1-AS1","down"
2.11317504263396e-07,-2.22205845105671,0.009,0.025,0.00397319171516037,"Memory B","NCR3LG1","down"
2.21315464981243e-24,-2.21504138452021,0.046,0.109,4.16117337257732e-20,"Memory B","LIX1-AS1","down"
5.07096867857661e-11,-2.20664793179492,0.015,0.046,9.53443530945974e-07,"Memory B","ZNF667","down"
1.07630953018014e-20,-2.17336014676657,0.034,0.093,2.0236771786447e-16,"Memory B","DSP","down"
1.76188375567751e-14,-2.10632265578599,0.026,0.068,3.31269383742485e-10,"Memory B","ARHGAP32","down"
7.60221070635688e-16,-2.07476534595816,0.03,0.074,1.42936765700922e-11,"Memory B","ATP6V1C2","down"
1.0713118814488e-08,-2.02770962153392,0.015,0.043,0.000201428059950003,"Memory B","RTN4R","down"
2.92306485303039e-11,-1.99079850243506,0.02,0.053,5.49594653666774e-07,"Memory B","FOXP1-AS1","down"
6.91014689599378e-07,-1.9857062995669,0.012,0.034,0.0129924581938475,"Memory B","ENSG00000270659","down"
7.00259807482899e-15,-1.9699773896758,0.032,0.084,1.31662849002935e-10,"Memory B","IL3RA","down"
1.43111526950165e-62,-1.96422990950984,0.151,0.344,2.690782929717e-58,"Memory B","GABARAPL1","down"
7.63103706396318e-11,-1.95810145691679,0.02,0.045,1.43478758876636e-06,"Memory B","TCF4-AS1","down"
9.03836961716741e-09,-1.95172166781171,0.015,0.031,0.000169939425541982,"Memory B","ENSG00000232124","down"
7.88663237750633e-37,-1.93692333111856,0.079,0.18,1.48284461961874e-32,"Memory B","ABCB1","down"
4.84316179768462e-09,-1.90922287505077,0.022,0.049,9.10611281200663e-05,"Memory B","ARRDC4","down"
6.39155725673923e-12,-1.88713630159252,0.031,0.068,1.20174059541211e-07,"Memory B","EMP1","down"
5.77910823547612e-09,-1.88226231838808,0.016,0.036,0.000108658793043422,"Memory B","NREP","down"
2.19396508673651e-228,-1.8743942132126,0.449,0.805,4.12509315608198e-224,"Memory B","YBX3","down"
6.26229221871294e-23,-1.85385365179623,0.053,0.122,1.17743618296241e-18,"Memory B","INSR","down"
4.88075708439963e-92,-1.83388524005866,0.225,0.435,9.17679947008818e-88,"Memory B","FCER2","down"
3.20252036778412e-07,-1.82969125636253,0.019,0.034,0.00602137879550769,"Memory B","TTTY14","down"
1.31367947179296e-30,-1.82260145467091,0.066,0.151,2.46998014286512e-26,"Memory B","ZNF318","down"
5.32172075821714e-54,-1.80680936047462,0.132,0.258,1.00058993695999e-49,"Memory B","XYLT1","down"
8.56784450366782e-99,-1.79377276843081,0.227,0.487,1.61092612357962e-94,"Memory B","IGHD","down"
6.81257176574765e-36,-1.78620573289248,0.134,0.261,1.28089974339587e-31,"Memory B","H1-10","down"
8.9559125433788e-28,-1.7842412280971,0.063,0.163,1.68389067640608e-23,"Memory B","HLA-G","down"
5.88953994644266e-20,-1.75797742819763,0.051,0.113,1.10735130073015e-15,"Memory B","ENSG00000277855","down"
1.92368733429387e-07,-1.7406866617886,0.012,0.019,0.00361691692593934,"Memory B","CASP4LP","down"
2.61098230130562e-32,-1.73548899631669,0.106,0.21,4.90916892291482e-28,"Memory B","PDE3B","down"
9.37957417749932e-27,-1.73185587859922,0.059,0.117,1.76354753685342e-22,"Memory B","CMTM3","down"
6.04926707507508e-09,-1.72291271802067,0.023,0.047,0.000113738319545562,"Memory B","MIR223HG","down"
2.20237517508417e-12,-1.71315723261577,0.027,0.058,4.14090580419326e-08,"Memory B","SEMA4A","down"
7.06434608850894e-09,-1.70952530055093,0.016,0.034,0.000132823835156145,"Memory B","TREML2","down"
1.04863247935576e-20,-1.70837513950994,0.051,0.11,1.97163878768471e-16,"Memory B","ZNF667-AS1","down"
6.96651999321202e-08,-1.70461203520986,0.025,0.05,0.00130984508912372,"Memory B","CABLES1","down"
1.14767417868773e-08,-1.6803127235188,0.022,0.043,0.000215785699076867,"Memory B","LAIR1","down"
1.98877906280379e-07,-1.67280655900072,0.017,0.037,0.00373930239388368,"Memory B","ITGB3","down"
4.46841747177837e-11,-1.66435988971731,0.031,0.056,8.40151853043769e-07,"Memory B","ENSG00000255240","down"
1.58197256736439e-10,-1.66244185117935,0.028,0.047,2.97442482115852e-06,"Memory B","PSD3","down"
2.09454343592905e-11,-1.63495081767165,0.036,0.072,3.9381605682338e-07,"Memory B","MIR181A1HG","down"
1.34796114657509e-13,-1.61974816188533,0.061,0.096,2.53443654779049e-09,"Memory B","NRARP","down"
1.00848532795433e-23,-1.61748690718748,0.07,0.134,1.89615411361973e-19,"Memory B","HMCES","down"
9.87402642499183e-12,-1.61669113383122,0.034,0.061,1.85651444842696e-07,"Memory B","PHLDB2","down"
9.64471703703988e-10,-1.6145157859335,0.049,0.063,1.81339969730424e-05,"Memory B","IGHV4-61","down"
5.14455164893639e-15,-1.60094403855841,0.041,0.079,9.6727860103302e-11,"Memory B","CNN3","down"
9.25201705823335e-45,-1.58914184250096,0.156,0.293,1.73956424728904e-40,"Memory B","ST6GALNAC3","down"
7.5717903984295e-34,-1.58862344629144,0.106,0.188,1.42364803071272e-29,"Memory B","JUP","down"
4.60585508628816e-26,-1.58791654644034,0.078,0.159,8.659928733239e-22,"Memory B","ENSG00000287378","down"
8.13450461654334e-07,-1.58719090327621,0.034,0.038,0.0152944955800248,"Memory B","IGHV3-7","down"
5.81595773217481e-07,-1.56990962520125,0.016,0.033,0.0109351637280351,"Memory B","TRABD2A","down"
1.28428365266765e-39,-1.56682737238175,0.127,0.241,2.41471012374571e-35,"Memory B","SLC39A8","down"
3.75300981541873e-43,-1.56667584886232,0.127,0.228,7.05640905495029e-39,"Memory B","BCL7A","down"
1.62968761541166e-20,-1.5655160088907,0.073,0.138,3.06413865449701e-16,"Memory B","CD200","down"
1.00589114098665e-08,-1.54017314986819,0.025,0.053,0.00018912765232831,"Memory B","KLF3-AS1","down"
3.14337208967826e-08,-1.52787190162077,0.021,0.031,0.000591016820301306,"Memory B","SYT17","down"
9.80401396050297e-07,-1.50427262480449,0.013,0.019,0.0184335070485377,"Memory B","MTCL1","down"
2.82856217028595e-08,-1.50328155912293,0.055,0.069,0.000531826259257164,"Memory B","IGHV4-39","down"
4.18886983884903e-29,-1.49548393919188,0.114,0.185,7.87591307100394e-25,"Memory B","SKAP1","down"
1.16338831966543e-67,-1.49384107284695,0.329,0.5,2.18740271863495e-63,"Memory B","FILIP1L","down"
8.00157652635318e-18,-1.47270034555317,0.061,0.111,1.50445641848493e-13,"Memory B","CCDC200","down"
5.90466299816641e-13,-1.46691887158963,0.036,0.058,1.11019473691525e-08,"Memory B","HOMER2","down"
1.82711853394853e-26,-1.46679130061688,0.119,0.207,3.43534826753002e-22,"Memory B","GPR18","down"
2.54236420994981e-57,-1.46245435855112,0.292,0.425,4.78015318754764e-53,"Memory B","SELL","down"
5.02925391664501e-52,-1.45733960387234,0.245,0.37,9.45600321407595e-48,"Memory B","FCRL1","down"
1.10355946716738e-35,-1.45374907116446,0.12,0.216,2.07491251016811e-31,"Memory B","CTNND1","down"
6.67986841651775e-19,-1.45354171664873,0.07,0.127,1.25594885967367e-14,"Memory B","ACSM1","down"
3.62421346685907e-41,-1.43633773193323,0.165,0.278,6.81424616038842e-37,"Memory B","PDE4A","down"
6.58781786072484e-07,-1.43380648626252,0.019,0.031,0.0123864151417348,"Memory B","RNF122","down"
4.86957933031938e-74,-1.43146984396917,0.345,0.503,9.15578305686649e-70,"Memory B","COL19A1","down"
2.98703412353713e-13,-1.43082384867124,0.048,0.081,5.61622155907451e-09,"Memory B","SLC2A5","down"
9.2014770627082e-14,-1.41965562489091,0.081,0.129,1.7300617173304e-09,"Memory B","ENSG00000287092","down"
5.35378321598129e-35,-1.40690760447173,0.143,0.237,1.0066183202688e-30,"Memory B","SORL1","down"
3.72661090815589e-12,-1.40538578370933,0.043,0.079,7.00677382951471e-08,"Memory B","ENSG00000289974","down"
7.97370727559332e-07,-1.40373293703005,0.023,0.047,0.0149921644195706,"Memory B","HS3ST3B1","down"
8.08160905679719e-25,-1.39746226109223,0.102,0.176,1.51950413485901e-20,"Memory B","TSPAN13","down"
6.27697602226812e-09,-1.39101047160227,0.023,0.036,0.000118019703170685,"Memory B","ENSG00000286153","down"
7.97428630982424e-10,-1.39075122316823,0.045,0.069,1.49932531197315e-05,"Memory B","CA2","down"
9.70359265103473e-11,-1.38969364437035,0.041,0.071,1.82446949024755e-06,"Memory B","SERPINE2","down"
7.18650089448516e-14,-1.38630854029033,0.052,0.088,1.3512058981811e-09,"Memory B","SCML1","down"
3.04733039606918e-19,-1.37382511817228,0.077,0.125,5.72959061068928e-15,"Memory B","RNF24","down"
1.05127863675647e-39,-1.3731746013225,0.139,0.225,1.97661409282952e-35,"Memory B","OGFRL1","down"
3.36829147498041e-08,-1.37112364448879,0.023,0.037,0.000633306163125817,"Memory B","RELL1","down"
