"","Transitional.B","Naive.B","Intermediate.B..HLA.G..","Memory.B","Atypical.B..ABC.DN2."
"MS4A1",9.5592,6.3068,8.9705,8.8627,10.3906
"CD79A",30.2121,30.0048,37.0007,21.6212,43.5967
"CD79B",1.7337,1.3199,1.9577,1.136,0.5879
"CD74",172.8359,187.4656,202.9171,148.3425,234.7278
"BANK1",3.7559,2.5325,3.0523,3.5965,3.3881
"CD19",0.7475,0.6504,0.9212,0.7686,1.5183
"BLK",1.1314,0.8606,1.1838,1.6112,1.3422
"IGHD",1.8987,1.5656,1.4072,0.439,0.9847
"IGHM",4.1304,3.4426,2.5813,1.6666,1.2715
"TCL1A",1.3658,0.7734,0.2935,0.077,0.0461
"IL4R",1.1443,0.9827,0.5369,0.4945,0.479
"FCER2",1.4612,1.8223,0.8556,0.381,0.0572
"CCR7",8.3635,11.137,8.1383,11.8246,3.7801
"CXCR4",21.8738,25.5694,20.2627,15.274,7.7124
"BACH2",9.4726,7.0774,3.8502,5.0565,5.6917
"CD38",0.3557,0.1678,0.0502,0.024,0.0043
"CD10",0.0238,0.0088,0.0133,0.0063,0.0023
"SOX4",0.2581,0.1669,0.0759,0.0967,0.4057
"VPREB3",0.36,0.2101,0.1629,0.1795,0.0065
"IGLL5",0.8686,0.2903,0.3387,0.0566,0.0683
"CD24",0.3777,0.299,0.1606,0.2954,0.0287
"IL7R",0.3361,0.0861,0.0146,0.0171,0.005
"CD21",0.0974,0.0905,0.042,0.0649,0.0018
"FOS",2.8103,8.1932,0.9137,2.1158,5.3735
"JUN",7.397,11.4131,4.9096,4.2038,3.2638
"JUNB",7.4762,11.229,7.0422,8.824,9.8561
"DUSP1",2.1765,3.5312,1.1301,1.2951,3.1155
"EGR1",0.3709,0.6443,0.1901,1.3314,0.7463
"IER2",2.9829,4.1854,3.2085,4.2677,3.9457
"NR4A1",2.438,2.9277,1.2018,3.9638,4.111
"HLA-G",0.048,0.0432,1.0954,0.1023,0.8579
"HLA-DRA",54.9599,67.9256,65.7397,54.4092,77.2805
"HLA-DPA1",15.9389,16.4858,16.3765,15.1093,26.7974
"HLA-DPB1",17.1449,17.3077,20.087,16.8075,30.6084
"HLA-DRB1",39.6884,47.5401,46.8374,37.0616,61.5516
"AIM2",0.1752,0.1017,0.5211,1.0558,0.8063
"TBX21",0.0316,0.0321,0.0568,0.1368,0.2654
"ITGAX",0.0932,0.0073,0.17,0.4081,2.3641
"FCRL5",0.4329,0.22,0.1182,0.2993,0.7939
"FCRL3",0.9571,0.9462,0.5555,0.9785,0.8088
"ZEB2",3.2247,2.2601,3.2417,3.5721,7.6588
"LILRB1",0.2271,0.1632,0.2963,0.2997,0.7182
"LILRB2",0.009,0.0036,0.0025,0.0143,0.1951
"CXCR3",0.0628,0.0169,0.6064,0.6937,1.2691
"CD27",0.0467,0.0091,0.3176,0.5304,0.09
"COCH",0.0339,0.0173,0.14,0.2811,0.0159
"LTB",3.4694,3.4871,3.2907,4.3425,0.441
"CD40",2.5497,2.8092,2.7711,2.3089,0.9936
"CD83",21.2414,25.6791,15.7864,17.0321,8.9535
"TNFRSF13B",0.2961,0.1524,0.841,2.5207,1.3236
"JCHAIN",0.5912,0.6166,0.3573,1.0551,0.0184
"XBP1",0.7821,0.7869,0.8138,0.7475,0.9421
"MZB1",0.3241,0.1363,0.1081,0.1633,0.0638
"PRDM1",0.0225,0.0106,0.0122,0.0372,0.0428
