"cluster","n_cells","top_signature","second_signature","top_markers","suggested_name"
"0",1435,"Antigen_Presenting","Inflammatory","HSPB1, FKBP4, MRPL18, HSPD1, CACYBP, HSP90AA1","Antigen-presenting (HLA-DR/CIITA high)"
"1",1328,"Antigen_Presenting","Classical_Mono","PMP22, THBS1, DUSP4, NCS1, MPZL1, NEDD4L","Antigen-presenting (HLA-DR/CIITA high)"
"2",1026,"Inflammatory","Classical_Mono","CCL2, CCL7, ENSG00000235979, CXCL1, SERPINB2, SLC39A8","Inflammatory monocyte (IL1B/CXCL8)"
"3",880,"Classical_Mono","Inflammatory","HILPDA, MXI1, DENND3, H1-4, HK2, SLC2A3","Classical monocyte (CD14+CD16-)"
"4",726,"Antigen_Presenting","Intermediate_Mono","RETN, HLA-DQA1, EPAS1, LINC01128, COL23A1, PMP22","Antigen-presenting (HLA-DR/CIITA high)"
"5",707,"Intermediate_Mono","Antigen_Presenting","LINC02432, UICLM, ENSG00000287682, FCGR3A, VMO1, CDKN1C","Intermediate monocyte (CD14+CD16+)"
"6",574,"Classical_Mono","Inflammatory","CAVIN2-AS1, CELF5, XYLB, ENSG00000229618, GRK7, PLEKHA6","Classical monocyte (CD14+CD16-)"
"7",313,"Antigen_Presenting","Intermediate_Mono","HLA-G, AHRR, RPS26, PDE3A, PCCA, COL23A1","Antigen-presenting (HLA-DR/CIITA high)"
"8",170,"Intermediate_Mono","Antigen_Presenting","PPP1R17, PTPN13, HLA-G, VMO1, NEURL1, CKB","Intermediate monocyte (CD14+CD16+)"
"9",121,"Antigen_Presenting","Intermediate_Mono","MT-ND6, BRAP, PRKCH, MT-ND4L, KMT2A, EXOC3","Antigen-presenting (HLA-DR/CIITA high)"
